sig,year,article_group,article,volumes,unit,t1,t1_tier,got,lost_subentry,ratio_now,ratio_after,rows
ornamental,1895,"FARINACEOUS SUBSTANCES and Manufactures thereof, unenumerated",Ornamental,as_1895,Lbs.,993163,A,516025,472665,0.5196,0.9955,"British Possessions in South Africa : Cape of Good Hope=326,418; British Possessions in South Africa : Natal=8,534; British East Indies : Bombay=76,385; British East Indies : Bengal=59,741; British East Indies : Other British East Indian Possessions=1,587"
paraffine,1893,PAPER-MAKING MATERIALS,PARAFFINE,as_1893,Cwts,768605,A,745878,22727,0.9704,1.0000,"British East Indies : Burmah=22,717; British East Indies : British North America : Newfoundland=10"
paraffine,1896,"ORE, unenumerated",PARAFFINE,as_1898,Ccts.,725398,A,705480,18027,0.9725,0.9974,"British East Indies : Bombay=204; British East Indies : Bengal=2,821; British East Indies : Straits Settlements=14,393; British East Indies : Ceylon=33; British East Indies : Hong Kong=576"
safflower,1886,"DYE STUFFS, and Substances used in Tanning",Safflower,as_1886,Cuts.,1394,B,0,1394,0.0000,1.0000,"British East Indies : (Bengal)=1,394"
