commodity,year,origin,qty,anchor,others_sum
Corn And Grain — Wheat Meal Or Flour,1883,United States Of America,16329312,16329312,16310996
Oil — Palm,1875,Western Africa (Foreign,904562,904562,904562
"Lac, Seed, Shell, Stick, And Dye",1884,British India,112479,112479,112479
Nuts And Kernels — Commonly Used For Expressing Oil Therefrom,1876,Western Africa (Foreign,31471,31471,29561
Part Wrought,1893,United States Of America,4241,4241,4252
Collodium,1893,Foreign Countries,1942,1942,1426279
