commodity,year,origin,value,qty
Wool — Sheep Or Lambs',1898,Hemp,1208,0
Iron — Leather Manufacturers,1899,Linen Yarn,1110,1011961
"Wine — In Bottles, Still",1899,White,996,2158
Wool — Sheep Or Lambs',1899,Zinc Crude Tons,29,0
Wool — Sheep Or Lambs',1898,Zinc Crude Tons,12,0
Wool — Sheep Or Lambs',1898,Raisins,6,0
Wool — Sheep Or Lambs',1899,Raisins,4,0
Wool — Sheep Or Lambs',1898,Yeast,0,0
Wool — Sheep Or Lambs',1899,Yeast,0,0
Wool — Sheep Or Lambs',1899,Rabbits Dead,0,0
Wool — Sheep Or Lambs',1898,Woollen Yarn Of All Kinds,0,0
Wool — Sheep Or Lambs',1899,Woollen Yarn Of All Kinds,0,0
Wool — Sheep Or Lambs',1898,Yeast Cuts,0,0
Wool — Sheep Or Lambs',1898,Hides Raw Ccts,0,0
Wool — Sheep Or Lambs',1899,Yeast Cts,0,0
Wine — Total Of All Kinds,1898,Burgundy,0,0
Wine — Total Of All Kinds,1897,Other Sorts,0,0
Wine — Total Of All Kinds,1898,Saumur,0,0
Wine — Total Of All Kinds,1898,Hock,0,0
Coffee — Raw,1898,"Kiln Dried, Roasted, Or Ground",0,0
Coffee — Raw,1899,"Kiln Dried, Roasted, Or Ground",0,0
Coffee — Raw,1897,"Kiln Dried, Roasted, Or Ground",0,1893
Petroleum,1899,Illuminating Gallons,0,0
Ireland,1896,Cork,0,1149432
Articles Subject To Duty,1886,"Articles From Each Country - - - Distinguishing The Total Quantities And Value Of Each Article Imported From Foreign Countries And British Possessions, The Quantities Entered For Home Consumption, And The Gross Amount Of Duty Received",0,91
England And Wales,1872,Rye,0,17159
