engine,volume,group,phantom_article,parent_article,year,seq_start,seq_end,n_rows,parent_plus_phantom,parent_t1,ratio,closes
inf,as_1891,NUTS AND KERNELS,West Africa,Commonly used for expressing oil therefrom,1891,2127,2137,11,62930,,,
inf,as_1892,OIL,West Africa,Palm,1892,2237,2247,11,1055580,,,
inf,as_1888,OIL,West Africa,Palm,1888,2058,2068,11,953799,,,
inf,as_1889,OIL,West Africa,Palm,1889,2058,2068,11,1031440,,,
ch,as_1890,OIL,West Africa,Palm,1890,2346,2355,10,873923,,,
ch,as_1895,TIN,East Coast of Africa,Ore of,1895,3576,3585,10,4705,,,
ch,as_1896,TIN,East Coast of Africa,Ore of,1896,3670,3679,10,4872,,,
ch,as_1885,GUM,East Coast of Africa,"Lac, Seed, Shell, Stick, and Dye",1885,1282,1291,10,238481,,,
ch,as_1895,FEATHERS AND DOWN,South Africa,Ornamental,1895,1090,1099,10,963963,,,
inf,as_1890,OIL,West Africa,Palm,1890,2246,2255,10,873923,,,
inf,as_1895,TIN,East Coast of Africa,Ore of,1895,3405,3414,10,4705,,,
inf,as_1896,TIN,East Coast of Africa,Ore of,1896,3628,3637,10,4872,,,
inf,as_1894,GUM,East Coast of Africa,Unenumerated,1894,1384,1393,10,126250,,,
ch,as_1894,GUM,British East-Indies,Unenumerated,1894,1464,1471,8,120069,,,
ch,as_1894,SPICES,East Coast of Africa,Pepper,1894,3414,3421,8,57459368,,,
ch,as_1895,IVORY,West Africa,"Teeth, Elephants', Sea Cow, Sea Horse, or Sea Morse",1895,1812,1819,8,10911,,,
ch,as_1893,Ivory,East Coast of Africa,"Teeth, Elephants', &c.",1893,1890,1897,8,3642,,,
ch,as_1894,Cotton,East Coast of Africa,"Unenumerated, for expressing oil therefrom",1894,3110,3117,8,218981,,,
inf,as_1883,SUGAR,East Coast of Africa : Total of,"Cane, and other sorts",1883,2889,2896,8,9460952,,,
inf,as_1894,SPICES,East Coast of Africa,Pepper,1894,3190,3197,8,57459368,,,
inf,as_1894,Cotton,East Coast of Africa,"Unenumerated, for expressing oil therefrom",1894,3042,3049,8,218981,,,
inf,as_1895,IVORY,West Africa,"Teeth, Elephants', Sea Cow, Sea Horse, or Sea Morse",1895,1814,1821,8,10911,,,
ch,as_1894,IVORY,West Africa,"Teeth, Elephants', Sea Cow, Sea   Horse, or Sea Morsc",1894,1871,1877,7,5263,,,
ch,as_1894,IVORY,East Coast of Africa,"Teeth, Elephants', &c.",1894,1884,1890,7,5140,,,
inf,as_1894,IVORY,West Africa,"Teeth, Elephants', Sea Cow, Sea Horse, or Sea Morse",1894,1792,1798,7,5463,,,
inf,as_1894,IVORY,East Coast of Africa,"Teeth, Elephants', &c.",1894,1805,1811,7,5140,,,
inf,as_1884,IVORY,East Coast of Africa,"Teeth, Elephants', Sea-cow, Sea-horse, or Sea-morse",1884,1024,1030,7,10090,,,
ch,as_1894,NUTS AND KERNELS,West Africa,Commonly used for expressing oil therefrom,1894,2349,2352,4,5859,,,
ch,as_1886,IVORY,East Coast of Africa,"Teeth, Elephants', Sea Cow. Sea Horse, or Sea Morse",1886,1692,1695,4,5225,,,
ch,as_1893,HEMP,Australia,Dressed or Undressed,1893,1597,1600,4,78333,,,
ch,as_1893,IVORY,East Coast of Africa,West Coast of Africa,1893,1880,1883,4,1577,,,
ch,as_1896,IVORY,East Coast of Africa,West Coast of Africa,1896,1883,1886,4,1504,,,
inf,as_1894,NUTS AND KERNELS,West Africa,Commonly used for expressing oil therefrom,1894,2281,2284,4,5859,,,
inf,as_1896,IVORY,East Coast of Africa,"Teeth, Elephants', Sea Cow, Sea Horse, or Sea Morse",1896,1878,1881,4,10908,,,
ch,as_1874,COTTON MANUFACTURES,Piece Goods of Other Countries,Piece Goods of India and China,1874,448,450,3,88435,,,
inf,as_1883,NUTS AND KERNELS,East Coast of Africa,"Other Sorts, unenumerated (not Fruit)",1883,1852,1854,3,0,,,
ch,as_1894,GUM,East Coast of Africa,Unenumerated,1894,1462,1463,2,56970,,,
ch,as_1892,COCOA,West Africa,"Cocoa or Chocolate, ground, prepared or   in any way manufactured",1892,69,70,2,2645261,,,
ch,as_1894,DYE WOODS,West Africa,Logwood,1894,1005,1006,2,75076,,,
ch,as_1885,IVORY,West Africa,"Teeth, Elephants', Sea-cow, Sea-horse, or Sea-morse",1885,1645,1646,2,5312,,,
ch,as_1889,IVORY,West Africa,"Teeth, Elephants', Sea Cow, Sea   Horse, or Sea Morse",1889,1718,1719,2,6867,,,
ch,as_1887,IVORY,West Africa,"Teeth, Elephants', Sea Cow, Sea Horse, or Sea Morse",1887,1677,1678,2,5423,,,
ch,as_1888,IVORY,West Africa,"Teeth, Elephants', Sea Cow, Sea   Horse, or Sea Horse",1888,1785,1786,2,5338,,,
inf,as_1889,IVORY,West Africa,"Tooth, Elephants', Sea Cow, Sea Horse, or Sea Morse",1889,1578,1579,2,6867,,,
inf,as_1885,IVORY,West Africa,"Teeth, Elephants', Sea-cow, Sea-horse, or Sea-morse",1885,1406,1407,2,5312,,,
inf,as_1887,IVORY,West Africa,"Teeth, Elephants', Sea Cow, Sea Horse, or Sea Morse",1887,1337,1338,2,5423,,,
inf,as_1888,IVORY,West Africa,"Teeth, Elephants', Sea Cow, Sea Horse, or Sea Morse",1888,1525,1526,2,5338,,,
inf,as_1893,NUTS AND KERNELS,East Coast of Africa,Commonly used for expressing oil therefrom,1893,2363,2363,1,3435,,,
