volume,year,flow,article_group,article,country_raw,old_value,new_value,witnesses
as_1881,1881,export_uk,WOOLLEN and WORSTED MANUFACTURES,"Carpets, not being Rugs",Russia,187300,14161,inf block (closes on its TOTAL); obs block price x10 1.5375 vs 0.1189
as_1881,1881,export_uk,WOOLLEN and WORSTED MANUFACTURES,"Carpets, not being Rugs",Sweden and Norway,269300,21161,inf block (closes on its TOTAL); obs block price x10 1.5375 vs 0.1189
as_1881,1881,export_uk,WOOLLEN and WORSTED MANUFACTURES,"Carpets, not being Rugs",Denmark,166800,16111,inf block (closes on its TOTAL); obs block price x10 1.5375 vs 0.1189
as_1881,1881,export_uk,WOOLLEN and WORSTED MANUFACTURES,"Carpets, not being Rugs",Germany,640100,61443,inf block (closes on its TOTAL); obs block price x10 1.5375 vs 0.1189
as_1881,1881,export_uk,WOOLLEN and WORSTED MANUFACTURES,"Carpets, not being Rugs",Holland,724100,61812,inf block (closes on its TOTAL); obs block price x10 1.5375 vs 0.1189
as_1881,1881,export_uk,WOOLLEN and WORSTED MANUFACTURES,"Carpets, not being Rugs",Belgium,775500,58660,inf block (closes on its TOTAL); obs block price x10 1.5375 vs 0.1189
as_1881,1881,export_uk,WOOLLEN and WORSTED MANUFACTURES,"Carpets, not being Rugs",France,2123600,162515,inf block (closes on its TOTAL); obs block price x10 1.5375 vs 0.1189
as_1881,1881,export_uk,WOOLLEN and WORSTED MANUFACTURES,"Carpets, not being Rugs",Portugal,108400,8361,inf block (closes on its TOTAL); obs block price x10 1.5375 vs 0.1189
as_1881,1881,export_uk,WOOLLEN and WORSTED MANUFACTURES,"Carpets, not being Rugs",Spain,824300,51395,inf block (closes on its TOTAL); obs block price x10 1.5375 vs 0.1189
as_1881,1881,export_uk,WOOLLEN and WORSTED MANUFACTURES,"Carpets, not being Rugs",Italy,258900,19507,inf block (closes on its TOTAL); obs block price x10 1.5375 vs 0.1189
as_1881,1881,export_uk,WOOLLEN and WORSTED MANUFACTURES,"Carpets, not being Rugs",Roumania,30500,2367,inf block (closes on its TOTAL); obs block price x10 1.5375 vs 0.1189
as_1881,1881,export_uk,WOOLLEN and WORSTED MANUFACTURES,"Carpets, not being Rugs",Turkey,187100,12891,inf block (closes on its TOTAL); obs block price x10 1.5375 vs 0.1189
as_1881,1881,export_uk,WOOLLEN and WORSTED MANUFACTURES,"Carpets, not being Rugs",Egypt,317100,20435,inf block (closes on its TOTAL); obs block price x10 1.5375 vs 0.1189
as_1881,1881,export_uk,WOOLLEN and WORSTED MANUFACTURES,"Carpets, not being Rugs",United States : Atlantic,1973400,182411,inf block (closes on its TOTAL); obs block price x10 1.5375 vs 0.1189
