article,canonical_group,plurality_frac,n_rows,n_groups_before,gold_agree,flag
Eastern Coast of Africa,NUTS AND KERNELS,0.12,11818,34,,REVIEW
Dutch Possession in Indian Seas,Cotton,0.45,2618,4,,REVIEW
"Unenumerated, Dried",FRUIT,0.45,1509,6,yes,REVIEW
Ore (including Chrome),IRON,0.46,1421,5,yes,REVIEW
Cured or Salted,FISH,0.47,1200,12,yes,REVIEW
"Skins, Unenumerated, undressed","SILVER, Ore of, or Ore of which the greater part in Value is Silver",0.43,1166,3,,REVIEW
"Unenumerated, Raw",FRUIT,0.38,1131,6,yes,REVIEW
"Unenumerated, Sweetened or     Mixed (Tested)",SPIRITS,0.41,1011,5,,REVIEW
Bones for Manure (whether burnt or not),LINEN,0.26,981,5,,REVIEW
"In Blocks, Ingots, Bars, or Slabs",TIN,0.45,947,6,yes,REVIEW
Manufactures of. unenumerated,LEAD,0.21,919,15,yes,REVIEW
TOW,FLAX,0.34,909,6,yes,REVIEW
VALONIA,DYE STUFFS (Other than Dye Woods) and Substances used in Tan- ning or Dyeing,0.41,904,11,,REVIEW
Bark,"DYE STUFFS, and Substances used in Tanning",0.28,881,6,yes,REVIEW
"Unenumerated, Salted or Fresh",MEAT,0.33,875,9,yes,REVIEW
Mahogany : Unenumerated,SUGAR,0.48,871,4,,REVIEW
"Manufactures of Silk, or of Silk mixed with other Materials, Unenumerated",SHELLS of all kinds,0.34,799,4,,REVIEW
Ornamental,FEATHERS,0.30,780,10,,REVIEW
"Manufactures of Iron or Steel, unenumerated","HORNS, tips and pieces of Horns and Hoofs",0.46,768,5,,REVIEW
Linen and Cotton Rags,RAGS and other Materials for making Paper,0.32,762,12,yes,REVIEW
Unprinted,PAPER,0.39,709,5,yes,REVIEW
Beans (not Kidney or French),"COPPER, ORE OF",0.48,703,4,,REVIEW
Cloths,WOOLLEN YARN,0.36,691,3,yes,REVIEW
Ginger,SPICES,0.35,685,6,,REVIEW
WAX,TIN,0.49,604,6,,REVIEW
"Old, fit only to be re-manu- factured","CHINA, OR PORCELAIN, AND EARTHENWARE",0.39,561,4,,REVIEW
Buckwheat,Corn and Grain,0.48,507,9,,REVIEW
"Hewn, Oak",WOOD AND TIMBER,0.47,504,4,yes,REVIEW
Mutton,Beef,0.46,493,4,,REVIEW
"Manufactures, including manu- factures of linen mixed with cotton",LINEN,0.46,476,3,,REVIEW
"Meal, not otherwise enumerated or described",CORDAGE,0.41,476,4,,REVIEW
"White, in Casks",TOBACCO,0.44,459,6,,REVIEW
Esparto and other Vegetable Fibres,RAGS and other Materials for making Paper,0.37,456,12,yes,REVIEW
Whale Fisheries,NUTS AND KERNELS,0.32,434,6,,REVIEW
"Madder, Madder Root, Garancine, and Munjeet",DYE STUFFS (Other than Dye Woods) and Substances used in Tan- ning or Dyeing,0.48,420,7,,REVIEW
"Red, in Casks",TOBACCO,0.44,418,6,,REVIEW
White: Total of,SOAP,0.31,406,5,,REVIEW
Pulp of Wood,PAPER,0.38,403,9,yes,REVIEW
"Rockets, and other Combustibles for purposes of War, Explosives, Percussion Caps, and Ammunition, Unenumerated",ARMS AND AMMUNITION,0.44,396,4,yes,REVIEW
"Swords, Cutlasses, Matchets, Bayonets","ANIMALS, LIVING",0.35,391,5,,REVIEW
For Beds,FEATHERS,0.33,367,8,,REVIEW
"Fish : Sperm, or Head Matter",NUTS AND KERNELS,0.48,366,3,,REVIEW
"Ore of, or Ore of which the greater part in value is Gold",GOLD,0.35,362,6,yes,REVIEW
Myrobalans,"DYE STUFFS, and Substances used in Tanning",0.31,347,9,,REVIEW
Swine,"ANIMALS, LIVING",0.47,338,5,,REVIEW
"White, in Bottles—Still",TOBACCO,0.35,333,6,,REVIEW
"Cured, Sardines",FISH (including Turtle),0.23,333,5,,REVIEW
Red : Total of,SOAP,0.37,322,5,,REVIEW
"Thrown, Dyed or not Dyed",SILK,0.48,316,5,yes,REVIEW
"Kiln dried, roasted or ground",COFFEE,0.48,309,3,yes,REVIEW
"Skins, Sheep, undressed",Cotton,0.40,300,4,,REVIEW
Cannon and Mortars. and parts thereof,ARMS AND AMMUNITION,0.35,299,5,,REVIEW
Hosiery of all sorts,COTTON MANUFACTURES,0.48,296,4,yes,REVIEW
"Red, in Bottles—Still",TOBACCO,0.39,289,6,,REVIEW
Cotton Cake,OIL,0.28,287,4,yes,REVIEW
"White, in Bottles, Sparkling : Other Sorts",WINE,0.46,271,3,yes,REVIEW
Sumach,DYE STUFFS (Other than Dye Woods) and Substances used in Tan- ning or Dyeing,0.22,270,7,,REVIEW
VINEGAR,"VARNISH, CONTAINING ALCOHOL",0.44,242,6,,REVIEW
Vegetable Substances applicable to the same uses as Hemp or Flax,HATS OR BONNETS,0.34,231,5,,REVIEW
"Cherries, Raw",FLAX,0.35,226,5,,REVIEW
"Shot, Large and Small",AMMUNITION,0.46,224,4,yes,REVIEW
"Unenumerated, or whereof leather is the most valuable part",LEATHER MANUFACTURES,0.41,221,3,,REVIEW
Snuff,TOBACCO,0.46,219,5,yes,REVIEW
"IRON, Manufactures of Iron or Steel: Sewing Machines and parts thereof",IRON,0.49,204,3,,REVIEW
SPONGE,"SKINS, FURS, and PELTS",0.37,182,4,,REVIEW
Herrings,FISH (including Turtle),0.46,177,9,,REVIEW
SAGO and SAGO FLOUR,ROSIN,0.47,174,7,,REVIEW
"Liqueurs, Cordials, &c., not tested, for ascertaining the strength",BEER AND ALE,0.44,165,4,,REVIEW
"BRASS, BRONZE, and METAL Bronzed     or Lacquered, Manufactures of,     unenumerated",BEEF,0.40,162,5,,REVIEW
"Cocoa or Chocolate, in the manufacture of which Spirit has been used",COCOA,0.31,156,4,yes,REVIEW
"Manufactures of, including Piece Goods, Sacks, and Bags",IVORY,0.31,155,4,,REVIEW
SAFFLOWER,ROSIN,0.22,154,12,,REVIEW
Tyres and axles,"HORNS, tips and pieces of Horns and Hoofs",0.48,141,3,,REVIEW
Maize or Indian Cornmeal,CORDAGE,0.37,134,6,,REVIEW
Transparent in the Manufacture of which Spirit has been used,BEER AND ALE,0.40,133,3,,REVIEW
Nitrate of Soda (Cubic Nitre),MANURES,0.41,132,5,,REVIEW
"Manufactures, Broad Stuffs, Velvet, plain or figured, wholly of Silk",SHELLS of all kinds,0.49,128,3,,REVIEW
Sardines,FISH,0.39,123,7,yes,REVIEW
Dyes obtained from Coal Tar (Aniline),DRUGS,0.36,122,5,,REVIEW
"VARNISH, not containing Spirit",TOYS,0.34,122,3,,REVIEW
"METHYLIC ALCOHOL, not purified so as to be potable",MEAT. Unenumerated,0.41,112,3,,REVIEW
"Dyes obtained from Coal Tar, Aniline",DRUGS,0.32,111,4,,REVIEW
LIQUORICE,LEATHER MANUFACTURES,0.48,105,4,,REVIEW
"Dutch Possessions, India",SPICES,0.37,100,4,,REVIEW
"Manufactures of Iron or Steel: Girders, Beams, and Pillars",IRON,0.43,99,3,,REVIEW
Not in the Husk,"QUICKSILVER, (Metallic)",0.31,94,5,,REVIEW
PLATED and GILT WARE,PLATE,0.41,85,4,,REVIEW
Horns and Hoofs,GUM,0.35,85,4,,REVIEW
"Dyes obtained from Coal Tar, Alizarine",DRUGS,0.32,82,4,,REVIEW
"Rough, Hewn or Manufactured: (Other than Works of Art)","STATIONERY, other than PAPER",0.45,78,3,,REVIEW
BRIMSTONE,BEEF,0.41,68,4,,REVIEW
"WOOLLEN: Applicable to other uses than Manure, torn up or not",RAGS and other Materials for making Paper,0.36,56,4,yes,REVIEW
"SOAP, Transparent, in the Manufacture of which Spirit has been used",PLATE,0.46,48,4,,REVIEW
"CORDAGE, CABLES (not of Iron). TWINE and CABLE YARN",COPPER,0.35,48,3,,REVIEW
