flow,volume,year,group,article,seq_from,seq_to,to_group,to_article,to_unit,rows,value,canada,primary,method,reference,from_block
export_uk,as_1897,1893,BRICKS,South Africa,7341,7450,BUTTER,,,24,12164,508,0,gap+shapex2,as_1896,BRICKS/
export_uk,as_1897,1893,BRICKS,South Africa,7455,7569,CANDLES of all sorts,,,24,87241,0,0,gap+shapex2,as_1896,BRICKS/
export_uk,as_1897,1893,BRICKS,West Africa,7574,7741,CANDLES of all sorts,,,36,70666,0,0,gap+shapex2,as_1896,BRICKS/
export_uk,as_1897,1893,BRICKS,South Africa,7746,7751,CANDLES of all sorts,,,2,94330,0,0,gap+shapex2,as_1896,BRICKS/
export_uk,as_1897,1893,BRICKS,East Africa,7756,7886,CANDLES of all sorts,,,27,98348,3245,0,gap+shapex2,as_1896,BRICKS/
export_uk,as_1897,1893,CHEESE,East Africa,10329,10469,"CHEMICAL PRODUCTS and Preparations, not specially unenumerated",,Cwts,29,1005569,0,0,gapx4,as_1896,CHEESE/
export_uk,as_1897,1893,CHEESE,Possessions in Indian Seas,10474,10620,"CHEMICAL PRODUCTS and Preparations, not specially unenumerated",,Cwts,31,628253,0,0,gapx4,as_1896,CHEESE/
export_uk,as_1897,1893,CHEESE,West Africa,10625,10645,"CHEMICAL PRODUCTS and Preparations, not specially unenumerated",,Cwts,5,630,0,0,gapx4,as_1896,CHEESE/
export_uk,as_1897,1893,CHEESE,South Africa,10650,10787,"CHEMICAL PRODUCTS and Preparations, not specially unenumerated",,Cwts,29,466468,37618,0,gapx4,as_1896,CHEESE/
export_uk,as_1897,1893,CHEESE,South Africa,10798,11052,"CLAY, Unmanufactured",,Cwts,54,287141,6529,0,gapx4,as_1896,CHEESE/
export_uk,as_1897,1893,"COAL, CINDERS, &c.",East Africa,11883,11977,"COAL, CINDERS, &c.",Coal and Cinders,Tons,20,114629,0,0,gapx2,as_1896,"COAL, CINDERS, &c./Coal and Culm continued"
export_uk,as_1897,1893,"COAL, CINDERS, &c.",Possessions in Indian Seas,11982,12074,"COAL, CINDERS, &c.",Coal and Cinders,Tons,19,79205,0,0,gapx2,as_1896,"COAL, CINDERS, &c./Coal and Culm continued"
export_uk,as_1897,1893,"COAL, CINDERS, &c.",South Africa,12078,12183,"COAL, CINDERS, &c.",Coal and Cinders,Tons,21,118904,887,0,gapx2,as_1896,"COAL, CINDERS, &c./Coal and Culm continued"
export_uk,as_1897,1893,"COAL, CINDERS, &c.",South Africa,12188,12369,"COAL, CINDERS, &c.","Fuel, Manufactured",Tons,38,432785,0,0,gapx2,as_1896,"COAL, CINDERS, &c./Coal and Culm continued"
export_uk,as_1897,1893,"COAL, CINDERS, &c.",East Africa,12731,12869,"COAL, CINDERS, &c.","COCOA or CHOCOLATE, manufactured in the United Kingdom",Products of Coal,29,41287,0,0,gapx2,as_1896,"COAL, CINDERS, &c./Products of Coal, Peat, or Shale, (including Naphtha, Paraffine, Paraffine Oil, Petroleum, Pitch, and Tar)"
export_uk,as_1897,1893,"COAL, CINDERS, &c.",West Africa,12874,12894,"COAL, CINDERS, &c.","COCOA or CHOCOLATE, manufactured in the United Kingdom",Products of Coal,5,896,0,0,gapx2,as_1896,"COAL, CINDERS, &c./Products of Coal, Peat, or Shale, (including Naphtha, Paraffine, Paraffine Oil, Petroleum, Pitch, and Tar)"
