volume,year,flow,article_group,article,unit,row_seq,country_raw,value,source,section_total,section_rows,canada
tn_1871,1870,export_uk,COTTON MANUFACTURES,Stockings and Socks,Dozen Pairs,1001437,Foreign West Indies,18376.0,inf,292630.0,15,5130
tn_1871,1870,export_uk,COTTON MANUFACTURES,Stockings and Socks,Dozen Pairs,1001438,United States : N. Atlantic Ports,89529.0,inf,292630.0,15,5130
tn_1871,1870,export_uk,COTTON MANUFACTURES,Stockings and Socks,Dozen Pairs,1001439,S. Atlantic Ports,7286.0,inf,292630.0,15,5130
tn_1871,1870,export_uk,COTTON MANUFACTURES,Stockings and Socks,Dozen Pairs,1001440,Pacific Ports,257.0,inf,292630.0,15,5130
tn_1871,1870,export_uk,COTTON MANUFACTURES,Stockings and Socks,Dozen Pairs,1001441,New Granada,4725.0,inf,292630.0,15,5130
tn_1871,1870,export_uk,COTTON MANUFACTURES,Stockings and Socks,Dozen Pairs,1001442,Peru,6071.0,inf,292630.0,15,5130
tn_1871,1870,export_uk,COTTON MANUFACTURES,Stockings and Socks,Dozen Pairs,1001443,Chili,9459.0,inf,292630.0,15,5130
tn_1871,1870,export_uk,COTTON MANUFACTURES,Stockings and Socks,Dozen Pairs,1001444,Brazil,16354.0,inf,292630.0,15,5130
tn_1871,1870,export_uk,COTTON MANUFACTURES,Stockings and Socks,Dozen Pairs,1001445,Uruguay,3849.0,inf,292630.0,15,5130
tn_1871,1870,export_uk,COTTON MANUFACTURES,Stockings and Socks,Dozen Pairs,1001446,Argentine Confederation,12356.0,inf,292630.0,15,5130
tn_1871,1870,export_uk,COTTON MANUFACTURES,Stockings and Socks,Dozen Pairs,1001447,British India : Bengal and Pegu,5259.0,inf,292630.0,15,5130
tn_1871,1870,export_uk,COTTON MANUFACTURES,Stockings and Socks,Dozen Pairs,1001448,Australia,83615.0,inf,292630.0,15,5130
tn_1871,1870,export_uk,COTTON MANUFACTURES,Stockings and Socks,Dozen Pairs,1001449,British North America,5130.0,inf,292630.0,15,5130
tn_1871,1870,export_uk,COTTON MANUFACTURES,Stockings and Socks,Dozen Pairs,1001450,British West India Islands and British Guiana,9041.0,inf,292630.0,15,5130
tn_1871,1870,export_uk,COTTON MANUFACTURES,Stockings and Socks,Dozen Pairs,1001451,Other Countries,21323.0,inf,292630.0,15,5130
tn_1871,1870,export_uk,COTTON MANUFACTURES,Stockings and Socks,Dozen Pairs,1001452,TOTAL,292630.0,inf,292630.0,15,5130
as_1872,1872,export_uk,COTTON MANUFACTURES,Hosiery of Other Sorts,,1000730,Germany,21371.0,inf,687621.0,19,46951
as_1872,1872,export_uk,COTTON MANUFACTURES,Hosiery of Other Sorts,,1000731,Holland,6863.0,inf,687621.0,19,46951
as_1872,1872,export_uk,COTTON MANUFACTURES,Hosiery of Other Sorts,,1000732,Italy,7831.0,inf,687621.0,19,46951
as_1872,1872,export_uk,COTTON MANUFACTURES,Hosiery of Other Sorts,,1000733,Turkey Proper,9351.0,inf,687621.0,19,46951
as_1872,1872,export_uk,COTTON MANUFACTURES,Hosiery of Other Sorts,,1000734,Egypt,11722.0,inf,687621.0,19,46951
as_1872,1872,export_uk,COTTON MANUFACTURES,Hosiery of Other Sorts,,1000735,United States: Atlantic,359037.0,inf,687621.0,19,46951
as_1872,1872,export_uk,COTTON MANUFACTURES,Hosiery of Other Sorts,,1000736,Pacific,203.0,inf,687621.0,19,46951
as_1872,1872,export_uk,COTTON MANUFACTURES,Hosiery of Other Sorts,,1000737,Foreign West Indies,13817.0,inf,687621.0,19,46951
as_1872,1872,export_uk,COTTON MANUFACTURES,Hosiery of Other Sorts,,1000738,United States of Colombia (New Granada),17183.0,inf,687621.0,19,46951
as_1872,1872,export_uk,COTTON MANUFACTURES,Hosiery of Other Sorts,,1000739,Peru,12338.0,inf,687621.0,19,46951
as_1872,1872,export_uk,COTTON MANUFACTURES,Hosiery of Other Sorts,,1000740,Chili,14011.0,inf,687621.0,19,46951
as_1872,1872,export_uk,COTTON MANUFACTURES,Hosiery of Other Sorts,,1000741,Brazil,19231.0,inf,687621.0,19,46951
as_1872,1872,export_uk,COTTON MANUFACTURES,Hosiery of Other Sorts,,1000742,Uruguay,16869.0,inf,687621.0,19,46951
as_1872,1872,export_uk,COTTON MANUFACTURES,Hosiery of Other Sorts,,1000743,Argentine Republic,36878.0,inf,687621.0,19,46951
as_1872,1872,export_uk,COTTON MANUFACTURES,Hosiery of Other Sorts,,1000744,British India: Bombay and Scinde,6698.0,inf,687621.0,19,46951
as_1872,1872,export_uk,COTTON MANUFACTURES,Hosiery of Other Sorts,,1000745,Australia,20109.0,inf,687621.0,19,46951
as_1872,1872,export_uk,COTTON MANUFACTURES,Hosiery of Other Sorts,,1000746,British North America,46951.0,inf,687621.0,19,46951
as_1872,1872,export_uk,COTTON MANUFACTURES,Hosiery of Other Sorts,,1000747,British West India Islands and British Guiana,10594.0,inf,687621.0,19,46951
as_1872,1872,export_uk,COTTON MANUFACTURES,Hosiery of Other Sorts,,1000748,Other Countries,56547.0,inf,687621.0,19,46951
as_1872,1872,export_uk,COTTON MANUFACTURES,Hosiery of Other Sorts,,1000749,TOTAL,687621.0,inf,687621.0,19,46951
as_1872,1872,export_uk,FLAX,"FURNITURE (Household), CABINET and UPHOLSTERY WARES",,1000907,Germany,4286.0,inf,314062.0,24,7707
as_1872,1872,export_uk,FLAX,"FURNITURE (Household), CABINET and UPHOLSTERY WARES",,1000908,Holland,5260.0,inf,314062.0,24,7707
as_1872,1872,export_uk,FLAX,"FURNITURE (Household), CABINET and UPHOLSTERY WARES",,1000909,France,21193.0,inf,314062.0,24,7707
as_1872,1872,export_uk,FLAX,"FURNITURE (Household), CABINET and UPHOLSTERY WARES",,1000910,Spain and Canaries,6649.0,inf,314062.0,24,7707
as_1872,1872,export_uk,FLAX,"FURNITURE (Household), CABINET and UPHOLSTERY WARES",,1000911,Turkey Proper,5292.0,inf,314062.0,24,7707
as_1872,1872,export_uk,FLAX,"FURNITURE (Household), CABINET and UPHOLSTERY WARES",,1000912,Egypt,13103.0,inf,314062.0,24,7707
as_1872,1872,export_uk,FLAX,"FURNITURE (Household), CABINET and UPHOLSTERY WARES",,1000913,China,16264.0,inf,314062.0,24,7707
as_1872,1872,export_uk,FLAX,"FURNITURE (Household), CABINET and UPHOLSTERY WARES",,1000914,Japan,12379.0,inf,314062.0,24,7707
as_1872,1872,export_uk,FLAX,"FURNITURE (Household), CABINET and UPHOLSTERY WARES",,1000915,United States: Atlantic,9251.0,inf,314062.0,24,7707
as_1872,1872,export_uk,FLAX,"FURNITURE (Household), CABINET and UPHOLSTERY WARES",,1000916,Pacific,459.0,inf,314062.0,24,7707
as_1872,1872,export_uk,FLAX,"FURNITURE (Household), CABINET and UPHOLSTERY WARES",,1000917,Peru,4011.0,inf,314062.0,24,7707
as_1872,1872,export_uk,FLAX,"FURNITURE (Household), CABINET and UPHOLSTERY WARES",,1000918,Chili,20748.0,inf,314062.0,24,7707
as_1872,1872,export_uk,FLAX,"FURNITURE (Household), CABINET and UPHOLSTERY WARES",,1000919,Brazil,4366.0,inf,314062.0,24,7707
as_1872,1872,export_uk,FLAX,"FURNITURE (Household), CABINET and UPHOLSTERY WARES",,1000920,Argentine Republic,12345.0,inf,314062.0,24,7707
as_1872,1872,export_uk,FLAX,"FURNITURE (Household), CABINET and UPHOLSTERY WARES",,1000921,Channel Islands,11319.0,inf,314062.0,24,7707
as_1872,1872,export_uk,FLAX,"FURNITURE (Household), CABINET and UPHOLSTERY WARES",,1000922,Gibraltar,4413.0,inf,314062.0,24,7707
as_1872,1872,export_uk,FLAX,"FURNITURE (Household), CABINET and UPHOLSTERY WARES",,1000923,British Possessions in South Africa,25828.0,inf,314062.0,24,7707
as_1872,1872,export_uk,FLAX,"FURNITURE (Household), CABINET and UPHOLSTERY WARES",,1000924,British India: Bombay and Scinde,4503.0,inf,314062.0,24,7707
as_1872,1872,export_uk,FLAX,"FURNITURE (Household), CABINET and UPHOLSTERY WARES",,1000925,Bengal and Burmah,3698.0,inf,314062.0,24,7707
as_1872,1872,export_uk,FLAX,"FURNITURE (Household), CABINET and UPHOLSTERY WARES",,1000926,Hong Kong,6944.0,inf,314062.0,24,7707
as_1872,1872,export_uk,FLAX,"FURNITURE (Household), CABINET and UPHOLSTERY WARES",,1000927,Australia,67976.0,inf,314062.0,24,7707
as_1872,1872,export_uk,FLAX,"FURNITURE (Household), CABINET and UPHOLSTERY WARES",,1000928,British North America,7707.0,inf,314062.0,24,7707
as_1872,1872,export_uk,FLAX,"FURNITURE (Household), CABINET and UPHOLSTERY WARES",,1000929,British West India Islands and British Guiana,15294.0,inf,314062.0,24,7707
as_1872,1872,export_uk,FLAX,"FURNITURE (Household), CABINET and UPHOLSTERY WARES",,1000930,Other Countries,30744.0,inf,314062.0,24,7707
as_1872,1872,export_uk,FLAX,"FURNITURE (Household), CABINET and UPHOLSTERY WARES",,1000931,TOTAL,314062.0,inf,314062.0,24,7707
as_1872,1872,export_uk,GLASS,"GREASE, not otherwise described",Cwts,1001004,Germany,4793.0,inf,77148.0,10,0
as_1872,1872,export_uk,GLASS,"GREASE, not otherwise described",Cwts,1001005,Holland,15605.0,inf,77148.0,10,0
as_1872,1872,export_uk,GLASS,"GREASE, not otherwise described",Cwts,1001006,Belgium,4552.0,inf,77148.0,10,0
as_1872,1872,export_uk,GLASS,"GREASE, not otherwise described",Cwts,1001007,France,18939.0,inf,77148.0,10,0
as_1872,1872,export_uk,GLASS,"GREASE, not otherwise described",Cwts,1001008,Egypt,4181.0,inf,77148.0,10,0
as_1872,1872,export_uk,GLASS,"GREASE, not otherwise described",Cwts,1001009,United States: Atlantic,11359.0,inf,77148.0,10,0
as_1872,1872,export_uk,GLASS,"GREASE, not otherwise described",Cwts,1001010,British Possessions in South Africa,3483.0,inf,77148.0,10,0
as_1872,1872,export_uk,GLASS,"GREASE, not otherwise described",Cwts,1001011,Australia,3524.0,inf,77148.0,10,0
as_1872,1872,export_uk,GLASS,"GREASE, not otherwise described",Cwts,1001012,British West India Islands and British Guiana,3268.0,inf,77148.0,10,0
as_1872,1872,export_uk,GLASS,"GREASE, not otherwise described",Cwts,1001013,Other Countries,7444.0,inf,77148.0,10,0
as_1872,1872,export_uk,GLASS,"GREASE, not otherwise described",Cwts,1001014,TOTAL,77148.0,inf,77148.0,10,0
as_1872,1872,export_uk,IRON,"Old, for Re-manufacture",Tons,1001195,Germany,55078.0,inf,656262.0,7,10538
as_1872,1872,export_uk,IRON,"Old, for Re-manufacture",Tons,1001196,Holland,27183.0,inf,656262.0,7,10538
