volume,year,flow,article_group,article,country_raw,old_value,new_value,raw_cell,witnesses
as_1893,1893,import,"COPPER, Ore of",Regulus and Precipitate,France,502.0,5602.0,"5,02","obs:as_1897=5,602"
as_1897,1897,import,LEAD,Pig and Sheet,Australasia : New South Wales,153.0,70238.0,"1,53","inf:as_1898=70,238; inf:as_1899=70,238; obs:as_1898=70,238; obs:as_1899=70,238"
as_1897,1897,import,NUTS AND KERNELS,Seed,Germany,5705.0,57005.0,"57,05","obs:as_1899=57,005"
as_1897,1897,import,NUTS AND KERNELS,Seed,Holland,4955.0,46087.0,"49,55","obs:as_1899=46,087"
as_1897,1897,import,NUTS AND KERNELS,Seed,Belgium,25852.0,258872.0,"258,52","obs:as_1899=258,872"
as_1897,1897,import,NUTS AND KERNELS,Seed,France,16995.0,160006.0,"169,95","obs:as_1899=160,006"
as_1897,1897,import,NUTS AND KERNELS,Seed,British East Indies,453.0,4510.0,"4,53","obs:as_1898=4,510; obs:as_1899=4,510"
as_1897,1897,import,NUTS AND KERNELS,Turpentine,Russia,743.0,7745.0,"7,43","obs:as_1899=7,745"
as_1897,1897,import,NUTS AND KERNELS,Turpentine,Belgium,464.0,4094.0,"4,64","obs:as_1899=4,094"
as_1897,1897,import,NUTS AND KERNELS,Turpentine,United States of America,51418.0,503951.0,"514,18","obs:as_1899=503,951"
as_1897,1897,import,NUTS AND KERNELS,"Chemical, Essential or Perfumed",Italy,7443.0,74454.0,"74,43","obs:as_1899=74,454"
as_1897,1897,import,NUTS AND KERNELS,"Chemical, Essential or Perfumed",China,724.0,7001.0,"7,24","obs:as_1899=7,001"
as_1897,1897,import,NUTS AND KERNELS,"Chemical, Essential or Perfumed",British East Indies : Hong Kong,2086.0,20805.0,"20,86","obs:as_1899=20,805"
as_1897,1897,import,NUTS AND KERNELS,"Chemical, Essential or Perfumed",British West India Islands,423.0,4533.0,"4,23","inf~as_1898=4,583; obs~as_1898=4,533"
as_1897,1897,import,POTATOES,,Canary Islands,3515.0,35125.0,"35,15","obs:as_1898=35,125"
as_1897,1897,import,POTATOES,,Malta,1517.0,16473.0,"15,17","obs:as_1898=16,473"
as_1897,1897,import,SHELLS of all kinds,Dutch Possession in Indian Seas,United States of America : Republic of Colombia,129.0,1200.0,"1,29","obs:as_1898=1,200; obs:as_1899=1,209"
as_1897,1895,import,SLATES,"Unrefined, Total",Denmark,3339.0,33390.0,"33,39","inf~as_1898=33,390; inf~as_1899=33,390; obs~as_1898=33,390; obs~as_1899=33,390"
as_1897,1897,import,SLATES,"Unrefined, Total",United States of America : Chile,1123.0,1120.0,"11,23","inf~as_1898=1,120; inf~as_1899=1,120; obs~as_1898=1,120; obs~as_1899=1,120"
as_1897,1897,import,SLATES,"Unrefined, Total",Uruguay,3524.0,35234.0,"35,24","inf~as_1899=35,234; obs~as_1898=35,234; obs~as_1899=35,234"
as_1897,1897,import,SLATES,"In Blocks, Ingots, Bars, or Slabs",Holland,1442.0,14402.0,"14,42","inf~as_1898=14,402; obs~as_1898=14,402; obs~as_1899=14,402"
as_1897,1897,import,SLATES,"In Blocks, Ingots, Bars, or Slabs",British East Indies : Bombay,9579.0,98710.0,"95,79","inf~as_1899=98,710"
as_1897,1897,import,SLATES,"In Blocks, Ingots, Bars, or Slabs",Australasia : Victoria,9155.0,91376.0,"91,55","inf~as_1898=91,376; obs~as_1899=91,376"
as_1897,1897,import,SLATES,"In Blocks, Ingots, Bars, or Slabs",Australasia : Queensland,1451.0,14671.0,"14,51","inf~as_1898=14,671; inf~as_1899=14,071; obs~as_1898=14,571; obs~as_1899=14,671"
as_1897,1897,import,TOYS,,Germany,60122.0,601223.0,"601,22","obs:as_1898=601,223; obs:as_1899=601,223"
as_1897,1897,import,TOYS,,Holland,21656.0,210536.0,"216,56","obs:as_1898=210,536; obs:as_1899=216,586"
as_1897,1897,import,TOYS,,Belgium,7362.0,78622.0,"73,62","obs:as_1898=78,622; obs:as_1899=78,622"
as_1897,1897,import,TOYS,,France,16292.0,162936.0,"162,92","obs:as_1898=162,936"
as_1897,1897,import,TOYS,,Japan,297.0,2971.0,"2,97","obs:as_1898=2,971"
as_1897,1897,import,WOOL,"Goats' wool, Mohair","Turkey, European",73903.0,709661.0,"739,03","inf:as_1898=700,601; inf:as_1899=700,661; obs:as_1898=709,661; obs:as_1899=709,661"
as_1897,1897,import,WOOL,"Goats' wool, Mohair",Asiatic,3254.0,32542.0,"32,54","inf:as_1898=32,542; inf:as_1899=32,512; obs:as_1898=32,542; obs:as_1899=32,542"
as_1897,1897,import,WOOL,"Goats' wool, Mohair",Other Foreign Countries,528.0,2028.0,"5,28","inf:as_1898=2,028; inf:as_1899=2,028; obs:as_1898=2,028; obs:as_1899=2,028"
as_1897,1897,import,WOOL,"Goats' wool, Mohair",Cape of Good Hope,57167.0,571061.0,"571,67","inf:as_1898=571,061; inf:as_1899=571,061; obs:as_1898=571,001; obs:as_1899=571,061"
as_1897,1897,import,WOOL,"Goats' wool, Mohair",Natal,6153.0,63358.0,"61,53","inf:as_1898=3,368; inf:as_1899=63,358; obs:as_1898=63,358; obs:as_1899=63,358"
as_1897,1896,import,WOOL,Eastern Coast of Africa,Brazil,103.0,1035.0,"1,03","inf:as_1898=1,035; inf:as_1899=1,035; obs:as_1898=1,035; obs:as_1899=1,935"
as_1897,1897,import,WOOL,Eastern Coast of Africa,Australasia,2047745.0,20423048.0,"20,47745","inf:as_1898=20,423,048; obs:as_1898=20,423,048; obs:as_1899=10,042"
as_1897,1897,import,TOBACCO,Cigars,Turkey,624.0,4394.0,"6,24","obs:as_1899=4,394"
as_1897,1897,export_uk,ALKALI,,Germany,3994.0,40904.0,"39,94","inf:as_1899=40,904; obs:as_1898=40,904; obs:as_1899=40,904"
as_1897,1897,export_uk,ALKALI,,Holland,2552.0,27942.0,"25,52","inf:as_1899=27,942; obs:as_1898=27,942; obs:as_1899=27,942"
as_1897,1897,export_uk,ALKALI,,Belgium,1332.0,37852.0,"13,32","inf:as_1899=37,852; obs:as_1898=37,552; obs:as_1899=37,852"
as_1897,1897,export_uk,ALKALI,,Portugal,1205.0,12105.0,"12,05","inf:as_1899=12,105; obs:as_1898=12,105; obs:as_1899=12,105"
as_1897,1897,export_uk,ALKALI,,Austrian Territories,1925.0,10537.0,"19,25","inf:as_1899=10,537; obs:as_1898=10,537; obs:as_1899=10,537"
as_1897,1897,export_uk,ALKALI,,Greece,827.0,8927.0,"8,27","inf:as_1899=8,927; obs:as_1898=8,927; obs:as_1899=8,927"
as_1897,1897,export_uk,ALKALI,,Roumania,824.0,8104.0,"8,24","inf:as_1899=8,104; obs:as_1898=8,104; obs:as_1899=8,104"
as_1897,1897,export_uk,ALKALI,,Turkey : European,252.0,2537.0,"2,52","inf:as_1899=2,537; obs:as_1898=2,537; obs:as_1899=2,537"
as_1897,1897,export_uk,ALKALI,,Turkey : Asiatic,740.0,7643.0,"7,40","inf:as_1899=7,643; obs:as_1898=7,643; obs:as_1899=7,643"
as_1897,1897,export_uk,ALKALI,,Tunis,128.0,1101.0,"1,28","inf:as_1899=1,101; obs:as_1898=1,101; obs:as_1899=1,101"
as_1897,1897,export_uk,ALKALI,Dutch,"Spanish, Philippine Islands",454.0,4494.0,"4,54","obs~as_1898=4,494; obs~as_1899=4,494"
as_1897,1897,export_uk,ALKALI,Dutch,Japan,6563.0,68489.0,"65,63","obs~as_1898=68,489; obs~as_1899=68,489"
as_1897,1897,export_uk,ALKALI,Dutch,United States of America : Spanish West India Islands,319.0,3149.0,"3,19","obs~as_1898=3,149; obs~as_1899=3,149"
as_1897,1897,export_uk,ALKALI,Dutch,United States of America : Hayti and San Domingo,196.0,1006.0,"1,96","obs~as_1898=1,096; obs~as_1899=1,006"
as_1897,1897,export_uk,"ANIMALS, Living",Unenumerated,Russia : Northern Ports,153.0,1333.0,"1,53","obs~as_1898=1,333"
as_1897,1897,export_uk,APPAREL AND SLOPS,,Turkey : Asiatic,462.0,4022.0,"4,62","inf:as_1898=4,022; obs:as_1898=4,622; obs:as_1899=4,022"
as_1897,1897,export_uk,APPAREL AND SLOPS,,Turkey : Cyprus,279.0,2700.0,"2,79","inf:as_1898=2,700; obs:as_1898=2,700; obs:as_1899=2,709"
as_1897,1897,export_uk,APPAREL AND SLOPS,,Egypt,5021.0,59321.0,"50,21","inf:as_1898=59,321; obs:as_1898=59,321; obs:as_1899=29,321"
as_1897,1897,export_uk,APPAREL AND SLOPS,West Africa,French Possessions,374.0,3729.0,"3,74","obs:as_1898=3,729; obs:as_1899=3,729"
as_1897,1897,export_uk,APPAREL AND SLOPS,West Africa,German Possessions,340.0,5662.0,"3,40","obs:as_1898=5,662; obs:as_1899=5,062"
as_1897,1897,export_uk,APPAREL AND SLOPS,West Africa,East Africa : Portuguese Possessions,6129.0,62250.0,"61,29","obs:as_1898=62,250; obs:as_1899=62,300"
as_1897,1897,export_uk,APPAREL AND SLOPS,Dutch,Java,354.0,3024.0,"3,54","obs~as_1899=3,024"
as_1897,1897,export_uk,DYE STUFFS,"Other Sorts, Unenumerated",Turkey : European,1547.0,1897.0,"15,47","obs:as_1898=1,897; obs:as_1899=1,897"
as_1897,1897,export_uk,IMPLEMENTS AND TOOLS,Railroad — Rails (Iron and Steel),San Salvador,1764.0,17643.0,"17,64","inf~as_1899=17,043; obs~as_1899=17,643"
as_1897,1897,export_uk,LEAD,Pig,Brazil,44.0,4192.0,"4,4","obs:as_1898=4,192; obs:as_1899=4,162"
as_1897,1897,export_uk,LEAD,Unwrought,Channel Islands,492.0,4643.0,"4,92","inf:as_1898=4,643; inf:as_1899=4,043; obs:as_1899=4,643"
as_1897,1897,export_uk,LEAD,"Wrought, Boots and Shoes",Sweden,123.0,1368.0,"1,23","inf:as_1898=1,396; inf:as_1899=1,303; obs:as_1898=1,368; obs:as_1899=1,308"
as_1897,1897,export_uk,LEAD,"Wrought, Boots and Shoes",Denmark (including Iceland and Greenland),131.0,1811.0,"1,31","inf~as_1899=1,811; obs~as_1899=1,811"
as_1897,1897,export_uk,LEAD,"Wrought, Boots and Shoes",Germany,823.0,8581.0,"8,23","inf:as_1898=8,581; inf:as_1899=8,581; obs:as_1898=8,581; obs:as_1899=8,581"
as_1897,1897,export_uk,LEAD,"Wrought, Boots and Shoes",Holland,3723.0,37553.0,"37,23","inf:as_1898=37,553; inf:as_1899=37,553; obs:as_1898=37,553; obs:as_1899=37,553"
as_1897,1897,export_uk,LEAD,"Wrought, Boots and Shoes",Belgium,138.0,10464.0,"1,38","inf:as_1898=10,464; inf:as_1899=10,404; obs:as_1898=10,464; obs:as_1899=10,464"
as_1897,1897,export_uk,LEAD,"Wrought, Boots and Shoes",France,221.0,22210.0,"2,21","inf:as_1898=22,210; inf:as_1899=22,210; obs:as_1898=22,210; obs:as_1899=22,210"
as_1897,1897,export_uk,LEAD,"Wrought, Boots and Shoes",East Africa: Portuguese Possessions,1729.0,17230.0,"17,29","inf:as_1898=17,230; inf:as_1899=17,230; obs:as_1898=17,230; obs:as_1899=17,230"
as_1897,1897,export_uk,LEAD,"Wrought, Boots and Shoes",China,202.0,2636.0,"2,02","inf:as_1898=2,636; inf:as_1899=2,636; obs:as_1898=2,636; obs:as_1899=2,636"
as_1897,1897,export_uk,LEAD,"Wrought, Boots and Shoes",Republic of Colombia,944.0,9434.0,"9,44","inf:as_1898=9,434; inf:as_1899=9,434; obs:as_1898=9,434; obs:as_1899=9,434"
as_1897,1897,export_uk,LEAD,"Wrought, Boots and Shoes",Peru,527.0,5257.0,"5,27","inf:as_1898=5,257; inf:as_1899=5,287; obs:as_1898=5,257; obs:as_1899=5,287"
as_1897,1897,export_uk,LEAD,"Wrought, Boots and Shoes",Chile,2729.0,27160.0,"27,29","inf:as_1898=27,160; inf:as_1899=27,160; obs:as_1898=27,160; obs:as_1899=27,160"
as_1897,1897,export_uk,LEAD,"Wrought, Boots and Shoes",Brazil,11173.0,111973.0,"111,73","inf:as_1898=111,973; inf:as_1899=111,973; obs:as_1898=111,973; obs:as_1899=111,973"
as_1897,1897,export_uk,LEAD,"Wrought, Boots and Shoes",Argentine Republic,1121.0,14311.0,"11,21","inf:as_1898=14,311; inf:as_1899=14,311; obs:as_1898=14,311; obs:as_1899=14,311"
as_1897,1897,export_uk,LEAD,"Wrought, Boots and Shoes",Other Foreign Countries,1471.0,16772.0,"14,71","inf:as_1898=16,772; inf:as_1899=10,772; obs:as_1898=16,772; obs:as_1899=16,772"
as_1897,1897,export_uk,LEAD,"Wrought, Boots and Shoes",Channel Islands,3121.0,41624.0,"31,21","inf:as_1898=41,624; inf:as_1899=41,024; obs:as_1898=41,624; obs:as_1899=41,624"
as_1897,1897,export_uk,LEAD,"Wrought, Boots and Shoes",Gibraltar,272.0,2599.0,"2,72","inf:as_1898=2,599; inf:as_1899=2,500; obs:as_1898=2,599; obs:as_1899=2,599"
as_1897,1897,export_uk,"MUSICAL INSTRUMENTS, AND PARTS THEREOF",South Africa,British West India Islands,469.0,4490.0,"4,69","obs~as_1899=4,490"
as_1897,1897,export_uk,"PAINTERS' COLOURS AND MATERIALS, UNENUMERATED","Pasteboard, Millboard, Cardboard, and Cards (including Playing Cards)",Australasia,2213.0,22579.0,"22,13","obs:as_1898=22,579; obs:as_1899=22,070"
as_1897,1895,export_uk,"SILK MANUFACTURES, WHOLLY OF SILK",Broad Stuffs of Silk or Satin,France,21504.0,201301.0,"2,1504","obs:as_1898=201,301; obs:as_1899=201,301"
as_1897,1897,export_uk,"SILK MANUFACTURES, WHOLLY OF SILK","British, Sheep and Lambs', Undressed, without the Wool",United States of America,22423.0,254571.0,"224,23","obs:as_1898=254,571"
as_1897,1895,reexport,"FRUIT, Almonds",,Holland,851.0,8317.0,"8,51","obs:as_1898=8,317; obs:as_1899=8,317"
as_1897,1897,reexport,FRUIT,served in Sugar,Italy,192.0,1462.0,"1,92","obs:as_1898=1,462"
as_1897,1897,reexport,FRUIT,served in Sugar,United States of America,132.0,1337.0,"1,32","obs:as_1898=1,337"
as_1897,1897,reexport,FRUIT,served in Sugar,British East Indies,372.0,3072.0,"3,72","obs:as_1898=3,072"
as_1897,1897,reexport,FRUIT,served in Sugar,Canada,185.0,1465.0,"1,85","obs:as_1898=1,465"
as_1897,1897,reexport,GALLS,,Germany,2727.0,27217.0,"27,27","obs:as_1898=27,217; obs:as_1899=27,217"
as_1897,1897,reexport,GALLS,,Belgium,1427.0,18217.0,"14,27","obs:as_1898=18,217; obs:as_1899=18,217"
as_1897,1897,reexport,GALLS,,United States of America : On the Atlantic,242.0,9442.0,"2,42","obs:as_1898=9,442; obs:as_1899=9,442"
as_1897,1897,reexport,JUTE,,Sweden,3125.0,21767.0,"31,25","obs:as_1898=21,767"
as_1897,1897,reexport,JUTE,,Norway,1248.0,12943.0,"12,48","obs:as_1898=12,943"
as_1897,1897,reexport,JUTE,,Germany,12970.0,129743.0,"129,70","obs:as_1898=129,743"
as_1897,1897,reexport,JUTE,,Belgium,16112.0,145122.0,"161,12","obs:as_1898=145,122"
as_1897,1897,reexport,JUTE,,France,52912.0,510400.0,"529,12","obs:as_1898=510,400"
as_1897,1897,reexport,JUTE,,Spain,6415.0,64145.0,"64,15","obs:as_1898=64,145"
as_1897,1897,reexport,JUTE,,United States of America : On the Atlantic,8512.0,105103.0,"85,12","obs:as_1898=105,103"
as_1897,1897,reexport,JUTE,,Mexico,1725.0,17726.0,"17,25","obs:as_1898=17,726"
as_1897,1897,reexport,JUTE,,Argentine Republic,2273.0,22773.0,"22,73","obs:as_1898=22,773"
as_1897,1897,reexport,JUTE,,British Possessions,122.0,1416.0,"1,22","obs:as_1898=1,416"
as_1897,1897,reexport,JUTE,YARN,United States of America : On the Atlantic,122.0,1553.0,"1,22","obs:as_1898=1,553"
as_1897,1897,reexport,JUTE,"Manufactures of, including Piece Goods, Sacks, and Bags",Sweden,322.0,3957.0,"3,22","obs:as_1898=3,957"
as_1897,1897,reexport,JUTE,"Manufactures of, including Piece Goods, Sacks, and Bags",Germany,417.0,4179.0,"4,17","obs:as_1898=4,179"
as_1897,1897,reexport,JUTE,"Manufactures of, including Piece Goods, Sacks, and Bags",Holland,1720.0,17999.0,"17,20","obs:as_1898=17,999"
as_1897,1897,reexport,JUTE,"Manufactures of, including Piece Goods, Sacks, and Bags",Canary Islands,112.0,1112.0,"1,12","obs:as_1898=1,112"
as_1897,1897,reexport,JUTE,"Manufactures of, including Piece Goods, Sacks, and Bags",Austrian Territories,122.0,1397.0,"1,22","obs:as_1898=1,397"
as_1897,1897,reexport,JUTE,"Manufactures of, including Piece Goods, Sacks, and Bags",Greece,122.0,1352.0,"1,22","obs:as_1898=1,352"
as_1897,1897,reexport,JUTE,"Manufactures of, including Piece Goods, Sacks, and Bags",Bulgaria,167.0,1673.0,"1,67","obs:as_1898=1,673"
as_1897,1897,reexport,JUTE,"Manufactures of, including Piece Goods, Sacks, and Bags",Roumania,1226.0,19396.0,"12,26","obs:as_1898=19,396"
as_1897,1897,reexport,JUTE,"Manufactures of, including Piece Goods, Sacks, and Bags",Turkey,6123.0,61363.0,"61,23","obs:as_1898=61,363"
as_1897,1897,reexport,JUTE,"Manufactures of, including Piece Goods, Sacks, and Bags",Egypt,552.0,5342.0,"5,52","obs:as_1898=5,342"
as_1897,1897,reexport,JUTE,"Manufactures of, including Piece Goods, Sacks, and Bags",Tunis,722.0,7367.0,"7,22","obs:as_1898=7,367"
as_1897,1895,reexport,"LEATHER, Undressed",,Austrian Territories,11053.0,116503.0,"110,53","obs:as_1899=116,503"
as_1897,1897,reexport,"SAUCES or CONDIMENTS, Unenumerated",,Norway,373.0,3778.0,"3,73","obs:as_1898=3,778"
as_1897,1897,reexport,"SAUCES or CONDIMENTS, Unenumerated",,Portugal,913.0,9176.0,"9,13","obs:as_1898=9,176"
as_1897,1897,reexport,"SAUCES or CONDIMENTS, Unenumerated",,Spain,432.0,4352.0,"4,32","obs:as_1898=4,352"
as_1897,1897,reexport,WOOD and TIMBER,Staves of all Dimensions,Madeira,229.0,2389.0,"2,29","inf:as_1899=2,389; obs:as_1898=2,389"
as_1897,1897,reexport,WOOD and TIMBER,Staves of all Dimensions,Spain,1781.0,17624.0,"17,81","inf:as_1899=17,624; obs:as_1898=17,624; obs:as_1899=17,624"
as_1897,1897,reexport,WOOD and TIMBER,Mahogany,Russia,195.0,1168.0,"1,95","inf~as_1898=1,168; inf~as_1899=1,409"
as_1897,1897,reexport,WOOD and TIMBER,Mahogany,United States of America : On the Atlantic,2254.0,32500.0,"22,54","obs:as_1898=32,500"
as_1897,1897,reexport,WOOD and TIMBER,Mahogany,Malta and Gozo,122.0,1522.0,"1,22","obs:as_1898=1,522; obs:as_1899=1,522"
as_1897,1897,reexport,WOOD and TIMBER,Mahogany,Cape of Good Hope,113.0,1153.0,"1,13","obs:as_1898=1,153; obs:as_1899=1,153"
as_1897,1897,reexport,CHICORY,West Africa,Chile,254.0,2500.0,"2,54","inf:as_1898=2,500; inf:as_1899=2,500; obs:as_1898=2,599; obs:as_1899=2,509"
as_1897,1897,reexport,CHICORY,West Africa,Canada,412.0,2337.0,"4,12","inf:as_1898=2,337; inf:as_1899=2,337; obs:as_1898=2,337; obs:as_1899=2,337"
