flow,raw_group,canonical,method,rows,volumes,y0,y1,variants_in_family
import,"VEGETABLES, raw, unenumerated","VEGETABLES, raw, unenumerated",identity,188,2,1894,1899,7
import,"VEGETABLES, Raw : Unenumerated","VEGETABLES, raw, unenumerated",case,128,7,1886,1893,7
import,"VEGETABLES, Raw, Unenumerated","VEGETABLES, raw, unenumerated",case,74,3,1894,1896,7
import,"VEGETABLES, Raw: Unenumerated","VEGETABLES, raw, unenumerated",case,19,1,1892,1892,7
import,"VEGETABLES, Raw; Unenumerated","VEGETABLES, raw, unenumerated",case,19,2,1882,1884,7
import,"VEGETABLES, Raw ; Unenumerated","VEGETABLES, raw, unenumerated",case,16,1,1885,1885,7
import,VEGETABLES. Raw : Unenumerated,"VEGETABLES, raw, unenumerated",case,14,1,1886,1886,7
import,"ART, WORKS of, other than PICTURES","ART, WORKS of, other than PICTURES",identity,92,9,1887,1896,6
import,"ART, WORKS OF, other than PICTURES","ART, WORKS of, other than PICTURES",case,74,8,1874,1885,6
import,"ART, WORKS of, other than Pictures","ART, WORKS of, other than PICTURES",case,13,1,1900,1900,6
import,"Art, Works of, other than PICTURES","ART, WORKS of, other than PICTURES",case,12,2,1873,1879,6
import,"ART WORKS of, other than PICTURES","ART, WORKS of, other than PICTURES",case,11,1,1886,1886,6
import,"ART. WORKS of, other than PICTURES","ART, WORKS of, other than PICTURES",case,9,1,1895,1895,6
export_uk,"BAGS AND SACKS, EMPTY","BAGS AND SACKS, EMPTY",identity,1419,3,1893,1900,6
export_uk,"BAGS and SACKS, Empty","BAGS AND SACKS, EMPTY",case,369,13,1872,1892,6
export_uk,"BAGS AND SACKS, Empty","BAGS AND SACKS, EMPTY",case,157,4,1893,1896,6
export_uk,"Bags and Sacks, Empty","BAGS AND SACKS, EMPTY",case,136,6,1876,1885,6
export_uk,Bags and Sacks Empty,"BAGS AND SACKS, EMPTY",case,34,2,1886,1887,6
export_uk,"Bags and SACKS, Empty","BAGS AND SACKS, EMPTY",case,16,1,1877,1877,6
reexport,"FISH, Fresh (not of British Taking)","FISH, Fresh (not of British Taking)",identity,185,7,1887,1894,6
reexport,"FISH, FRESH (not of British taking)","FISH, Fresh (not of British Taking)",case,149,10,1873,1885,6
reexport,"FISH, Fresh (not of British taking)","FISH, Fresh (not of British Taking)",case,108,3,1872,1896,6
reexport,"Fish, Fresh (not of British Taking)","FISH, Fresh (not of British Taking)",case,45,1,1893,1893,6
reexport,"Fish, Fresh (not of British taking)","FISH, Fresh (not of British Taking)",case,43,2,1883,1884,6
reexport,"FISH, FRESH (not of British Taking)","FISH, Fresh (not of British Taking)",case,27,1,1886,1886,6
import,"RAGS, and other MATERIALS for MAKING PAPER","RAGS, and other MATERIALS for MAKING PAPER",identity,267,5,1888,1892,6
import,RAGS and other Materials for making Paper,"RAGS, and other MATERIALS for MAKING PAPER",case,151,6,1872,1880,6
import,"RAGS, and other Materials, for making Paper","RAGS, and other MATERIALS for MAKING PAPER",case,136,4,1881,1884,6
import,"RAGS, and other Materials for making Paper","RAGS, and other MATERIALS for MAKING PAPER",case,103,3,1886,1888,6
import,RAGS and other MATERIALS for MAKING PAPER,"RAGS, and other MATERIALS for MAKING PAPER",case,49,2,1886,1887,6
import,Rags and other Materials for making Paper,"RAGS, and other MATERIALS for MAKING PAPER",case,44,1,1870,1870,6
import,"BRASS, BRONZE, and METAL, Bronzed or Lacquered, Manufactures of, unenumerated","BRASS, BRONZE, and METAL, Bronzed or Lacquered, Manufactures of, unenumerated",identity,34,3,1886,1892,5
import,"BRASS, BRONZE, and METAL Bronzed or Lacquered, Manufactures of, Un- enumerated","BRASS, BRONZE, and METAL, Bronzed or Lacquered, Manufactures of, unenumerated",dehyphen,25,2,1883,1884,5
import,"BRASS, BRONZE, and METAL Bronzed or Lacquered, Manufactures of, unenumerated","BRASS, BRONZE, and METAL, Bronzed or Lacquered, Manufactures of, unenumerated",case,24,2,1890,1896,5
import,"BRASS, BRONZE, and METAL. Bronzed or Lacquered, Manufactures of, Un- enumerated","BRASS, BRONZE, and METAL, Bronzed or Lacquered, Manufactures of, unenumerated",dehyphen,13,1,1885,1885,5
import,"BRASS, BRONZE, and METAL. Bronzed or Lacquered, Manufactures of, Unenumerated","BRASS, BRONZE, and METAL, Bronzed or Lacquered, Manufactures of, unenumerated",case,6,1,1882,1882,5
import,"Books, bound or unbound, including MAPS and CHARTS","Books, bound or unbound, including MAPS and CHARTS",identity,37,3,1883,1885,5
import,"BOOKS, Bound or Unbound, including MAPS and CHARTS","Books, bound or unbound, including MAPS and CHARTS",case,25,2,1887,1892,5
import,"Books Bound or Unbound, including MAPS and CHARTS","Books, bound or unbound, including MAPS and CHARTS",case,13,1,1886,1886,5
import,"Books, Bound or Unbound, including MAPS and CHARTS","Books, bound or unbound, including MAPS and CHARTS",case,13,1,1890,1890,5
import,"BOOKS, bound or unbound, including MAPS and CHARTS","Books, bound or unbound, including MAPS and CHARTS",case,8,1,1882,1882,5
export_uk,"FURNITURE (Household), Cabinet and Upholstery Wares","FURNITURE (Household), Cabinet and Upholstery Wares",identity,4450,4,1893,1900,5
export_uk,"FURNITURE (Household), CABINET, and UPHOLSTERY WARES","FURNITURE (Household), Cabinet and Upholstery Wares",case,358,10,1886,1896,5
export_uk,"FURNITURE (Household), CABINET and UP- HOLSTERY WARES","FURNITURE (Household), Cabinet and Upholstery Wares",dehyphen,115,7,1876,1882,5
export_uk,"FURNITURE (Household), CABINET and UPHOLSTERY WARES","FURNITURE (Household), Cabinet and Upholstery Wares",case,58,3,1883,1885,5
export_uk,"FURNITURE, (Household) CABINET, and UPHOLSTERY WARES","FURNITURE (Household), Cabinet and Upholstery Wares",case,9,1,1883,1883,5
export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work","HABERDASHERY and MILLINERY, including Embroidery and Needlework",dehyphen,875,1,1894,1898,5
export_uk,"HABERDASHERY and MILLINERY, including Em- broidery and Needlework","HABERDASHERY and MILLINERY, including Embroidery and Needlework",dehyphen,224,5,1875,1881,5
export_uk,"HABERDASHERY AND MILLINERY, including EMBROIDERY AND NEEDLE- WORK","HABERDASHERY and MILLINERY, including Embroidery and Needlework",dehyphen,90,3,1892,1896,5
export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needlework","HABERDASHERY and MILLINERY, including Embroidery and Needlework",identity,75,2,1874,1878,5
export_uk,"HABERDASHERY AND MILLINERY, including EMBROIDERY AND NEEDLE- WORK,","HABERDASHERY and MILLINERY, including Embroidery and Needlework",dehyphen,45,1,1893,1893,5
export_uk,"HARDWARES AND CUTLERY, Un- enumerated","HARDWARES AND CUTLERY, Unenumerated",dehyphen,1724,6,1891,1897,5
export_uk,"HARDWARES and CUTLERY, Unenumerated","HARDWARES AND CUTLERY, Unenumerated",case,363,9,1873,1884,5
export_uk,"HARDWARES AND CUTLERY, un- enumerated","HARDWARES AND CUTLERY, Unenumerated",dehyphen,229,4,1886,1890,5
export_uk,"HARDWARES AND CUTLERY, Un- 
enumerated","HARDWARES AND CUTLERY, Unenumerated",dehyphen,63,1,1896,1896,5
export_uk,HARDWARES AND CUTLERY. Un- enumerated,"HARDWARES AND CUTLERY, Unenumerated",dehyphen,46,1,1893,1893,5
import,"MEAT, Unenumerated","MEAT, Unenumerated",identity,309,8,1880,1894,5
import,"MEAT, unenumerated","MEAT, Unenumerated",case,221,6,1886,1891,5
import,MEAT. Unenumerated,"MEAT, Unenumerated",case,31,1,1892,1892,5
import,"MEAT, UNENUMERATED","MEAT, Unenumerated",case,12,1,1886,1886,5
import,"Meat, Unenumerated","MEAT, Unenumerated",case,1,1,1878,1878,5
export_uk,"TIN, Unwrought","TIN, Unwrought",identity,418,22,1872,1896,5
export_uk,"TIN, unwrought","TIN, Unwrought",case,43,3,1875,1890,5
export_uk,"TIN, UNWROUGHT","TIN, Unwrought",case,33,1,1900,1900,5
export_uk,TIN. Unwrought,"TIN, Unwrought",case,15,1,1893,1893,5
export_uk,"Tin, Unwrought","TIN, Unwrought",case,9,1,1894,1894,5
reexport,"ART, WORKS OF, OTHER THAN PICTURES","ART, WORKS OF, OTHER THAN PICTURES",identity,40,12,1872,1893,4
reexport,"ART, WORKS OF, OTHER THAN PIC- TURES","ART, WORKS OF, OTHER THAN PICTURES",dehyphen,38,7,1885,1895,4
reexport,"ART. WORKS OF, OTHER THAN PIC- TURES","ART, WORKS OF, OTHER THAN PICTURES",dehyphen,13,2,1894,1896,4
reexport,ART. WORKS OF OTHER THAN PIC- TURES,"ART, WORKS OF, OTHER THAN PICTURES",dehyphen,6,1,1891,1891,4
import,"BUTTONS AND STUDS, not of Metal","BUTTONS AND STUDS, not of Metal",identity,123,4,1893,1900,4
import,"BUTTONS AND STUDS, NOT OF METAL","BUTTONS AND STUDS, not of Metal",case,79,11,1886,1896,4
import,"BUTTONS and STuds, not of Metal","BUTTONS AND STUDS, not of Metal",case,13,2,1883,1884,4
import,"BUTTONS and STUDS, not of Metal","BUTTONS AND STUDS, not of Metal",case,5,1,1879,1879,4
export_uk,"CAOUTCHouc, Manufactures of","CAOUTCHouc, Manufactures of",identity,283,8,1883,1896,4
export_uk,CAOUTCHouc. Manufactures of,"CAOUTCHouc, Manufactures of",case,77,2,1892,1895,4
export_uk,"CAOUTCHouc, MANUFACTURES OF","CAOUTCHouc, Manufactures of",case,25,1,1882,1882,4
export_uk,"Caoutchouc, Manufactures of","CAOUTCHouc, Manufactures of",case,24,1,1884,1884,4
reexport,"CHINA OR PORCELAIN, AND EARTHENWARE","CHINA OR PORCELAIN, AND EARTHENWARE",identity,105,2,1893,1898,4
reexport,CHINA or PORCELAIN and EARTHEN- WARE,"CHINA OR PORCELAIN, AND EARTHENWARE",dehyphen,16,2,1886,1887,4
reexport,CHINA OR PORCELAIN AND EARTHENWARE,"CHINA OR PORCELAIN, AND EARTHENWARE",case,11,2,1884,1885,4
reexport,CHINA OR PORCELAIN AND EARTHEN- WARE,"CHINA OR PORCELAIN, AND EARTHENWARE",dehyphen,4,1,1883,1883,4
export_uk,"CORDAGE, CABLES, ROPES, AND TWINE, of Hemp or like Material","CORDAGE, CABLES, ROPES, AND TWINE, of Hemp or like Material",identity,4389,4,1893,1900,4
export_uk,"CORDAGE, CABLES, ROPES, and TWINE of HEMP, or like MATERIAL","CORDAGE, CABLES, ROPES, AND TWINE, of Hemp or like Material",case,350,10,1886,1896,4
export_uk,"CORDAGE, CABLES, ROPES, and TWINE of HEMP or like MATERIAL","CORDAGE, CABLES, ROPES, AND TWINE, of Hemp or like Material",case,59,3,1883,1885,4
export_uk,"CORDAGE, CABLES, ROPES and TWINE of HEMP or like MATERIAL","CORDAGE, CABLES, ROPES, AND TWINE, of Hemp or like Material",case,19,1,1882,1882,4
reexport,"CORDAGE, TWINE, AND CABLE YARN","CORDAGE, TWINE, AND CABLE YARN",identity,181,17,1873,1895,4
reexport,"CORDAGE, TWINE, and CABLE YARN","CORDAGE, TWINE, AND CABLE YARN",case,50,5,1872,1890,4
reexport,"CORDAGE, TWINE, AND CABLE-YARN","CORDAGE, TWINE, AND CABLE YARN",case,21,2,1881,1896,4
reexport,"CORDAGE, TWINE and CABLE YARN","CORDAGE, TWINE, AND CABLE YARN",case,10,1,1886,1886,4
export_uk,"COTTON, YARN, AND TWIST","COTTON, YARN, AND TWIST",identity,1097,3,1893,1900,4
export_uk,COTTON YARN AND TWIST,"COTTON, YARN, AND TWIST",case,575,8,1889,1896,4
export_uk,"COTTON, YARN AND TWIST","COTTON, YARN, AND TWIST",case,571,2,1893,1898,4
export_uk,COTTON YARN and TWIST,"COTTON, YARN, AND TWIST",case,70,3,1873,1876,4
import,"DYE STUFFS, and Substances used in Tanning","DYE STUFFS, and Substances used in Tanning",identity,1157,9,1884,1894,4
