measure,fiscal_year,country,value,n_attest,n_agree,sources
aggregate,1872,australia,31926,1,1,1873
aggregate,1872,belgium,265121,1,1,1873
aggregate,1872,british north american provinces,3736453,1,1,1873
aggregate,1872,british west indies,3447938,1,1,1873
aggregate,1872,china and japan,438070,1,1,1873
aggregate,1872,france,1990100,1,1,1873
aggregate,1872,french do,309453,1,1,1873
aggregate,1872,germany,977923,1,1,1873
aggregate,1872,goods not produce exported,12798182,1,1,1873
aggregate,1872,great britain,89011676,1,1,1873
aggregate,1872,holland,201088,1,1,1873
aggregate,1872,italy,242794,1,1,1873
aggregate,1872,other countries,437805,1,1,1873
aggregate,1872,other west india islands,107156,1,1,1873
aggregate,1872,portugal,189655,1,1,1873
aggregate,1872,south africa,5615,1,1,1873
aggregate,1872,south america,864030,1,1,1873
aggregate,1872,spain,459242,1,1,1873
aggregate,1872,spanish do,2911042,1,1,1873
aggregate,1872,switzerland,110982,1,1,1873
aggregate,1872,total,190348779,1,1,1873
aggregate,1872,united states,71808525,1,1,1873
aggregate,1873,australia,430174,2,2,1873;1877
aggregate,1873,b n a provinces,4639532,1,1,1877
aggregate,1873,belgium,364456,7,7,1873;1877;1883;1884;1885;1887;1889
aggregate,1873,british north american provinces,4609552,1,1,1873
aggregate,1873,british west indies,2933548,2,2,1873;1877
aggregate,1873,china and japan,1709856,7,6,1873;1877;1883;1884;1885;1887;1889
aggregate,1873,france,2055195,7,7,1873;1877;1883;1884;1885;1887;1889
aggregate,1873,french do,343221,2,2,1873;1877
aggregate,1873,germany,1176478,7,7,1873;1877;1883;1884;1885;1887;1889
aggregate,1873,great britain,107266624,7,6,1873;1877;1883;1884;1885;1887;1889
aggregate,1873,holland,229770,7,7,1873;1877;1883;1884;1885;1887;1889
aggregate,1873,italy,229657,7,7,1873;1877;1883;1884;1885;1887;1889
aggregate,1873,newfoundland,4609552,5,4,1883;1884;1885;1887;1889
aggregate,1873,other countries,1099998,7,5,1873;1877;1883;1884;1885;1887;1889
aggregate,1873,other west india islands,119224,2,2,1873;1877
aggregate,1873,portugal,266188,7,6,1873;1877;1883;1884;1885;1887;1889
aggregate,1873,south africa,102977,2,2,1873;1877
aggregate,1873,south america,1701633,7,7,1873;1877;1883;1884;1885;1887;1889
aggregate,1873,spain,502966,7,7,1873;1877;1883;1884;1885;1887;1889
aggregate,1873,spanish do,2767432,2,2,1873;1877
aggregate,1873,switzerland,120514,7,7,1873;1877;1883;1884;1885;1887;1889
aggregate,1873,total,217304516,6,6,1873;1883;1884;1885;1887;1889
aggregate,1873,totals,217304516,1,1,1877
aggregate,1873,united states,89808204,7,6,1873;1877;1883;1884;1885;1887;1889
aggregate,1873,west indies,6163425,5,5,1883;1884;1885;1887;1889
aggregate,1874,australia,93733,1,1,1877
aggregate,1874,b n a provinces,2657547,1,1,1877
aggregate,1874,belgium,534153,6,6,1877;1883;1884;1885;1887;1889
aggregate,1874,british west indies,2916595,1,1,1877
aggregate,1874,china and japan,1263728,6,5,1877;1883;1884;1885;1887;1889
aggregate,1874,france,2569712,6,6,1877;1883;1884;1885;1887;1889
aggregate,1874,french do,411111,1,1,1877
aggregate,1874,germany,1022428,6,6,1877;1883;1884;1885;1887;1889
aggregate,1874,great britain,108083642,6,6,1877;1883;1884;1885;1887;1889
aggregate,1874,holland,271043,6,6,1877;1883;1884;1885;1887;1889
aggregate,1874,italy,236296,6,6,1877;1883;1884;1885;1887;1889
aggregate,1874,newfoundland,2657547,5,5,1883;1884;1885;1887;1889
aggregate,1874,other countries,927743,6,5,1877;1883;1884;1885;1887;1889
aggregate,1874,other west india islands,163467,1,1,1877
aggregate,1874,portugal,294007,6,6,1877;1883;1884;1885;1887;1889
aggregate,1874,south africa,3316,1,1,1877
aggregate,1874,south america,1686508,6,5,1877;1883;1884;1885;1887;1889
aggregate,1874,spain,459027,6,6,1877;1883;1884;1885;1887;1889
aggregate,1874,spanish do,2595356,1,1,1877
