fiscal_year,total_exports,total_imports,entered_for_consumption,duty,source
1868,57567888,73459644,71985306,8819431.63,oocihm.9_08052_18_2 prefatory No.1 (17-year series)
1869,60474781,70415165,67402170,8398969.71,oocihm.9_08052_18_2 prefatory No.1 (17-year series)
1870,73573490,74814339,71237603,9462940.44,oocihm.9_08052_18_2 prefatory No.1 (17-year series)
1871,74173618,96092971,86947482,11843655.75,oocihm.9_08052_18_2 prefatory No.1 (17-year series)
1872,82639663,111430527,107709116,13045493.50,oocihm.9_08052_18_2 prefatory No.1 (17-year series)
1873,89789922,128011281,127514594,13017730.17,oocihm.9_08052_18_2 prefatory No.1 (17-year series)
1874,89351928,128213582,127404169,14421882.67,oocihm.9_08052_18_2 prefatory No.1 (17-year series)
1875,77886979,123070283,119618657,15361382.12,oocihm.9_08052_18_2 prefatory No.1 (17-year series)
1876,80966435,93210346,94733218,12933114.43,oocihm.9_08052_18_2 prefatory No.1 (17-year series)
1877,75875393,99327962,96300483,12548451.09,oocihm.9_08052_18_2 prefatory No.1 (17-year series)
1878,79323667,93081787,91199577,12795693.17,oocihm.9_08052_18_2 prefatory No.1 (17-year series)
1879,71491255,81964427,80341608,12939540.66,oocihm.9_08052_18_2 prefatory No.1 (17-year series)
1880,87911458,86489747,71787349,14138849.22,oocihm.9_08052_18_2 prefatory No.1 (17-year series)
1881,98290823,105330840,91611604,18500785.97,oocihm.9_08052_18_2 prefatory No.1 (17-year series)
1882,102137203,119419500,112648927,21708837.43,oocihm.9_08052_18_2 prefatory No.1 (17-year series)
1883,98085804,132254022,123137019,23172308.97,oocihm.9_08052_18_2 prefatory No.1 (17-year series)
1884,91406496,116397043,108180644,20164963.37,oocihm.9_08052_18_2 prefatory No.1 (17-year series)
1885,89238361,108941486,102710019,19133558.99,oocihm.9_08052_23_2 prefatory No.1 (22-year series)
1886,85251314,104424561,99602694,19448123.70,oocihm.9_08052_23_2 prefatory No.1 (22-year series)
1887,89515811,112892236,105639428,22469705.83,oocihm.9_08052_23_2 prefatory No.1 (22-year series)
1888,90203000,110894630,102847100,22209641.53,oocihm.9_08052_23_2 prefatory No.1 (22-year series)
1889,89189167,115224931,109673447,23784523.23,oocihm.9_08052_23_2 prefatory No.1 (22-year series)
1890,96749149,121858241,112765584,24014908.07,No.1 series voted across StatCan CS4-4 prefatory tables (fy1900/05/06/07/08 nibi_w2)
1891,98417296,119967638,113345124,23481069.13,No.1 series voted across StatCan CS4-4 prefatory tables (fy1900/05/06/07/08 nibi_w2)
1892,113963372,127406068,116978943,20550581.53,No.1 series voted across StatCan CS4-4 prefatory tables (fy1900/05/06/07/08 nibi_w2)
1893,118564352,129074268,121705030,21161710.93,No.1 series voted across StatCan CS4-4 prefatory tables (fy1900/05/06/07/08 nibi_w2)
1894,117524949,123474940,113093983,19379822.52,No.1 series voted across StatCan CS4-4 prefatory tables (fy1900/05/06/07/08 nibi_w2)
1895,113638803,110781682,105252511,17887269.47,No.1 series voted across StatCan CS4-4 prefatory tables (fy1900/05/06/07/08 nibi_w2)
1896,121013852,118011508,110587480,20219037.32,No.1 series voted across StatCan CS4-4 prefatory tables (fy1900/05/06/07/08 nibi_w2)
1897,137950253,119218609,111294021,19891996.77,No.1 series voted across StatCan CS4-4 prefatory tables (fy1900/05/06/07/08 nibi_w2)
1898,164152683,140323053,130698006,22157788.49,No.1 series voted across StatCan CS4-4 prefatory tables (fy1900/05/06/07/08 nibi_w2)
1899,158896905,162764308,154051593,25734228.75,No.1 series voted across StatCan CS4-4 prefatory tables (fy1900/05/06/07/08 nibi_w2)
1900,191894723,189622513,180804316,28889110.13,No.1 series voted across StatCan CS4-4 prefatory tables (fy1900/05/06/07/08 nibi_w2)
1901,196487632,190415525,181237988,29106979.89,No.1 series voted across StatCan CS4-4 prefatory tables (fy1900/05/06/07/08 nibi_w2)
1902,211640286,212270158,202791595,32425532.31,No.1 series voted across StatCan CS4-4 prefatory tables (fy1900/05/06/07/08 nibi_w2)
1903,225849724,241214961,233790516,37110354.59,No.1 series voted across StatCan CS4-4 prefatory tables (fy1900/05/06/07/08 nibi_w2)
1904,213521235,259211803,251464332,40954349.14,No.1 series voted across StatCan CS4-4 prefatory tables (fy1900/05/06/07/08 nibi_w2)
1905,203316872,266834417,261925554,42024339.92,No.1 series voted across StatCan CS4-4 prefatory tables (fy1900/05/06/07/08 nibi_w2)
1906,256586630,294286015,290360807,46671101.18,No.1 series voted across StatCan CS4-4 prefatory tables (fy1900/05/06/07/08 nibi_w2)
1907,205277197,259786007,257254882,40290171.70,No.1 series voted across StatCan CS4-4 prefatory tables (fy1900/05/06/07/08 nibi_w2); 9-month fiscal year (1 July 1906 - 31 March 1907; year-end moved to 31 March)
1908,280000606,370786525,358428616,58331074.04,No.1 series voted across StatCan CS4-4 prefatory tables (fy1900/05/06/07/08 nibi_w2); SINGLE WITNESS (only the fy1908 volume reaches 1908)
