measure,fiscal_year,country,value,source_volume,source_fy,table_seq
duty,1873,Other West India Islands,9319.43,oocihm.9_08052_7_4,1873,7
duty,1872,South America,81176,oocihm.9_08052_7_4,1873,7
duty,1873,South America,416139,oocihm.9_08052_7_4,1873,7
duty,1872,South America,39810.37,oocihm.9_08052_7_4,1873,7
duty,1873,South America,182660.79,oocihm.9_08052_7_4,1873,7
duty,1872,China and Japan,388359,oocihm.9_08052_7_4,1873,7
duty,1873,China and Japan,1663370,oocihm.9_08052_7_4,1873,7
duty,1872,China and Japan,144990.54,oocihm.9_08052_7_4,1873,7
duty,1873,China and Japan,157.95,oocihm.9_08052_7_4,1873,7
duty,1872,Switzerland,110982,oocihm.9_08052_7_4,1873,7
duty,1873,Switzerland,120514,oocihm.9_08052_7_4,1873,7
duty,1872,Switzerland,15445.98,oocihm.9_08052_7_4,1873,7
duty,1873,Switzerland,15994.95,oocihm.9_08052_7_4,1873,7
duty,1872,Australia,1103,oocihm.9_08052_7_4,1873,7
duty,1873,Australia,388352,oocihm.9_08052_7_4,1873,7
duty,1872,Australia,110.31,oocihm.9_08052_7_4,1873,7
duty,1873,South Africa,97939,oocihm.9_08052_7_4,1873,7
duty,1872,Other Countries,217352,oocihm.9_08052_7_4,1873,7
duty,1873,Other Countries,293871,oocihm.9_08052_7_4,1873,7
duty,1872,Other Countries,25691.23,oocihm.9_08052_7_4,1873,7
duty,1873,Other Countries,35533.31,oocihm.9_08052_7_4,1873,7
duty,1872,Amounts for which no returns were received by the Department,4464.14,oocihm.9_08052_7_4,1873,7
duty,1873,Amounts for which no returns were received by the Department,5126.92,oocihm.9_08052_7_4,1873,7
duty,1872,Total,107709116,oocihm.9_08052_7_4,1873,7
duty,1873,Total,127514594,oocihm.9_08052_7_4,1873,7
duty,1872,Total,13045493.5,oocihm.9_08052_7_4,1873,7
duty,1873,Total,13017730.17,oocihm.9_08052_7_4,1873,7
aggregate,1872,Great Britain,89011676,oocihm.9_08052_7_4,1873,8
aggregate,1873,Great Britain,107266624,oocihm.9_08052_7_4,1873,8
aggregate,1872,United States,71808525,oocihm.9_08052_7_4,1873,8
aggregate,1873,United States,89808204,oocihm.9_08052_7_4,1873,8
aggregate,1872,France,1990100,oocihm.9_08052_7_4,1873,8
aggregate,1873,France,2055195,oocihm.9_08052_7_4,1873,8
aggregate,1872,Germany,977923,oocihm.9_08052_7_4,1873,8
aggregate,1873,Germany,1176478,oocihm.9_08052_7_4,1873,8
aggregate,1872,Spain,459242,oocihm.9_08052_7_4,1873,8
aggregate,1873,Spain,502966,oocihm.9_08052_7_4,1873,8
aggregate,1872,Portugal,189655,oocihm.9_08052_7_4,1873,8
aggregate,1873,Portugal,263188,oocihm.9_08052_7_4,1873,8
aggregate,1872,Italy,242794,oocihm.9_08052_7_4,1873,8
aggregate,1873,Italy,229657,oocihm.9_08052_7_4,1873,8
aggregate,1872,Holland,201088,oocihm.9_08052_7_4,1873,8
aggregate,1873,Holland,229770,oocihm.9_08052_7_4,1873,8
aggregate,1872,Belgium,265121,oocihm.9_08052_7_4,1873,8
