volume,year,flow,article_group,article,country_raw,old_value,new_value,witnesses
as_1899,1897,export_uk,"COAL, CINDERS, &c.",East Africa,Portuguese Possessions,4382.0,,"inf:as_1899 duplicate label, value belongs elsewhere"
as_1899,1897,export_uk,"CORDAGE, CABLES, ROPES, AND TWINE, of Hemp or like Material",West Africa,Paraguay,20565.0,,"inf:as_1899 duplicate label, value belongs elsewhere"
as_1899,1897,export_uk,COTTON MANUFACTURES,East Africa,German Possessions,3708.0,,"inf:as_1899 duplicate label, value belongs elsewhere"
as_1899,1897,export_uk,COTTON MANUFACTURES—con- tinued,East Africa,Portuguese Possessions,18437.0,,"inf:as_1899 duplicate label, value belongs elsewhere"
as_1899,1897,export_uk,HATS,West Africa,Denmark,3477.0,1391.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1897,export_uk,HATS,West Africa,Germany,1391.0,3461.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1897,export_uk,HATS,West Africa,Holland,3461.0,16055.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1897,export_uk,HATS,West Africa,Belgium,16055.0,3283.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1897,export_uk,HATS,West Africa,France,3253.0,10350.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1897,export_uk,HATS,West Africa,Portugal,10350.0,264.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1897,export_uk,HATS,West Africa,Turkey,264.0,1378.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1897,export_uk,HATS,West Africa,Japan,1378.0,5876.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1897,export_uk,HATS,West Africa,United States of America,5876.0,12135.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1897,export_uk,HATS,West Africa,Cuba and Porto Rico,12135.0,5014.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1897,export_uk,HATS,West Africa,Hayti and St. Domingo,5014.0,1280.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1897,export_uk,HATS,West Africa,Mexico,1259.0,1467.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1897,export_uk,HATS,West Africa,Nicaragua,1467.0,510.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1897,export_uk,HATS,West Africa,Costa Rica,510.0,1151.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1897,export_uk,HATS,West Africa,Republic of Colombia,1151.0,2356.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1897,export_uk,HATS,West Africa,Venezuela,2356.0,1045.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1897,export_uk,HATS,West Africa,Ecuador,1045.0,662.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1897,export_uk,HATS,West Africa,Peru,662.0,521.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1897,export_uk,HATS,West Africa,Chile,521.0,2031.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1897,export_uk,HATS,West Africa,Brazil,2031.0,5107.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1897,export_uk,HATS,West Africa,Uruguay,5107.0,422.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1897,export_uk,HATS,West Africa,Argentine Republic,422.0,1042.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1897,export_uk,HATS,West Africa,Other Foreign Countries,1942.0,8317.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1897,import,DYE STUFFS (Other than Dye Woods) and Substances used in Tan- ning or Dyeing,Valonia,France,1098.0,239.0,inf:as_1899 slip run 5 rows offset +1
as_1899,1897,import,DYE STUFFS (Other than Dye Woods) and Substances used in Tan- ning or Dyeing,Valonia,United States of America,239.0,190.0,inf:as_1899 slip run 5 rows offset +1
as_1899,1897,import,DYE STUFFS (Other than Dye Woods) and Substances used in Tan- ning or Dyeing,Valonia,Hayti and St. Domingo,190.0,18353.0,inf:as_1899 slip run 5 rows offset +1
as_1899,1897,import,DYE STUFFS (Other than Dye Woods) and Substances used in Tan- ning or Dyeing,Valonia,Mexico,48353.0,32513.0,inf:as_1899 slip run 5 rows offset +1
as_1899,1897,import,DYE STUFFS (Other than Dye Woods) and Substances used in Tan- ning or Dyeing,Valonia,Other Foreign Countries,32513.0,65.0,inf:as_1899 slip run 5 rows offset +1
as_1899,1897,import,METAL,"Unenumerated, Old, fit only to be Re-manufactured—cont.",Holland,7433.0,5785.0,inf:as_1899 slip run 6 rows offset +1
as_1899,1897,import,METAL,"Unenumerated, Old, fit only to be Re-manufactured—cont.",Belgium,5785.0,5057.0,inf:as_1899 slip run 6 rows offset +1
as_1899,1897,import,METAL,"Unenumerated, Old, fit only to be Re-manufactured—cont.",France,5087.0,9734.0,inf:as_1899 slip run 6 rows offset +1
as_1899,1897,import,METAL,"Unenumerated, Old, fit only to be Re-manufactured—cont.",Austrian Territories,9734.0,1588.0,inf:as_1899 slip run 6 rows offset +1
as_1899,1897,import,METAL,"Unenumerated, Old, fit only to be Re-manufactured—cont.",United States of America,1588.0,2473.0,inf:as_1899 slip run 6 rows offset +1
as_1899,1897,import,METAL,"Unenumerated, Old, fit only to be Re-manufactured—cont.",Other Foreign Countries,2473.0,455.0,inf:as_1899 slip run 6 rows offset +1
as_1899,1897,import,METAL,"Unenumerated, Old, fit only to be Re-manufactured—cont.",Belgium,467.0,766.0,inf:as_1899 slip run 6 rows offset +1
as_1899,1897,import,METAL,"Unenumerated, Old, fit only to be Re-manufactured—cont.",France,766.0,3056.0,inf:as_1899 slip run 6 rows offset +1
as_1899,1897,import,METAL,"Unenumerated, Old, fit only to be Re-manufactured—cont.",Italy,3056.0,1061.0,inf:as_1899 slip run 6 rows offset +1
as_1899,1897,import,METAL,"Unenumerated, Old, fit only to be Re-manufactured—cont.",Austrian Territories,1061.0,108.0,inf:as_1899 slip run 6 rows offset +1
as_1899,1897,import,METAL,"Unenumerated, Old, fit only to be Re-manufactured—cont.",India : French Possessions,103.0,,inf:as_1899 slip run 6 rows offset +1
as_1899,1897,import,METAL,"Unenumerated, Old, fit only to be Re-manufactured—cont.",Other Foreign Countries,2795.0,105.0,inf:as_1899 slip run 6 rows offset +1
as_1899,1897,import,METAL,"Unenumerated, Old, fit only to be Re-manufactured—cont.",Denmark,159396.0,2780.0,inf:as_1899 slip run 8 rows offset +1
as_1899,1897,import,METAL,"Unenumerated, Old, fit only to be Re-manufactured—cont.",Germany,2780.0,8093.0,inf:as_1899 slip run 8 rows offset +1
as_1899,1897,import,METAL,"Unenumerated, Old, fit only to be Re-manufactured—cont.",Holland,8693.0,457978.0,inf:as_1899 slip run 8 rows offset +1
as_1899,1897,import,METAL,"Unenumerated, Old, fit only to be Re-manufactured—cont.",Belgium,457978.0,48368.0,inf:as_1899 slip run 8 rows offset +1
as_1899,1897,import,METAL,"Unenumerated, Old, fit only to be Re-manufactured—cont.",France,48368.0,634403.0,inf:as_1899 slip run 8 rows offset +1
as_1899,1897,import,METAL,"Unenumerated, Old, fit only to be Re-manufactured—cont.",Italy,634463.0,1914.0,inf:as_1899 slip run 8 rows offset +1
as_1899,1897,import,METAL,"Unenumerated, Old, fit only to be Re-manufactured—cont.",United States of America,1944.0,70229.0,inf:as_1899 slip run 8 rows offset +1
as_1899,1897,import,METAL,"Unenumerated, Old, fit only to be Re-manufactured—cont.",Other Foreign Countries,79829.0,108.0,inf:as_1899 slip run 8 rows offset +1
as_1899,1897,import,WOOD AND TIMBER,"Sawn or Split, planed or dressed,     Fir",Sweden,133455.0,35094.0,inf:as_1899 slip run 8 rows offset +1
as_1899,1897,import,WOOD AND TIMBER,"Sawn or Split, planed or dressed,     Fir",Norway,35094.0,55537.0,inf:as_1899 slip run 8 rows offset +1
as_1899,1897,import,WOOD AND TIMBER,"Sawn or Split, planed or dressed,     Fir",Germany,55537.0,175500.0,inf:as_1899 slip run 8 rows offset +1
as_1899,1897,import,WOOD AND TIMBER,"Sawn or Split, planed or dressed,     Fir",Holland,175500.0,11052.0,inf:as_1899 slip run 8 rows offset +1
as_1899,1897,import,WOOD AND TIMBER,"Sawn or Split, planed or dressed,     Fir",France,11052.0,4231.0,inf:as_1899 slip run 8 rows offset +1
as_1899,1897,import,WOOD AND TIMBER,"Sawn or Split, planed or dressed,     Fir",Austrian Territories,4231.0,1573.0,inf:as_1899 slip run 8 rows offset +1
as_1899,1897,import,WOOD AND TIMBER,"Sawn or Split, planed or dressed,     Fir",United States of America,1573.0,140571.0,inf:as_1899 slip run 8 rows offset +1
as_1899,1897,import,WOOD AND TIMBER,"Sawn or Split, planed or dressed,     Fir",Other Foreign Countries,140571.0,688.0,inf:as_1899 slip run 8 rows offset +1
as_1899,1897,reexport,"LEATHER, Undressed",,Sweden,157207.0,4483.0,inf:as_1899 slip run 11 rows offset -1
as_1899,1897,reexport,"LEATHER, Undressed",,Norway,39571.0,157207.0,inf:as_1899 slip run 11 rows offset -1
as_1899,1897,reexport,"LEATHER, Undressed",,Denmark,4267.0,39571.0,inf:as_1899 slip run 11 rows offset -1
as_1899,1897,reexport,"LEATHER, Undressed",,Germany,196210.0,4267.0,inf:as_1899 slip run 11 rows offset -1
as_1899,1897,reexport,"LEATHER, Undressed",,Holland,350820.0,196210.0,inf:as_1899 slip run 11 rows offset -1
as_1899,1897,reexport,"LEATHER, Undressed",,Belgium,15787.0,350820.0,inf:as_1899 slip run 11 rows offset -1
as_1899,1897,reexport,"LEATHER, Undressed",,France,43850.0,15787.0,inf:as_1899 slip run 11 rows offset -1
as_1899,1897,reexport,"LEATHER, Undressed",,Italy,3123.0,43850.0,inf:as_1899 slip run 11 rows offset -1
as_1899,1897,reexport,"LEATHER, Undressed",,Austrian Territories,205174.0,3193.0,inf:as_1899 slip run 11 rows offset -1
as_1899,1897,reexport,"LEATHER, Undressed",,Greece,1494.0,205174.0,inf:as_1899 slip run 11 rows offset -1
as_1899,1897,reexport,"LEATHER, Undressed",,Turkey,2633.0,1494.0,inf:as_1899 slip run 11 rows offset -1
as_1899,1897,reexport,SILK,"Skins, Goat, Undressed : Unenumerated: Undressed",Cape of Good Hope,43091.0,2755.0,inf:as_1899 slip run 6 rows offset +1
as_1899,1897,reexport,SILK,"Skins, Goat, Undressed : Unenumerated: Undressed",Natal,2755.0,444.0,inf:as_1899 slip run 6 rows offset +1
as_1899,1897,reexport,SILK,"Skins, Goat, Undressed : Unenumerated: Undressed",Australasia,444.0,4423.0,inf:as_1899 slip run 6 rows offset +1
as_1899,1897,reexport,SILK,"Skins, Goat, Undressed : Unenumerated: Undressed",Canada,4423.0,2377.0,inf:as_1899 slip run 6 rows offset +1
as_1899,1897,reexport,SILK,"Skins, Goat, Undressed : Unenumerated: Undressed",British Guiana,2377.0,605.0,inf:as_1899 slip run 6 rows offset +1
as_1899,1897,reexport,SILK,"Skins, Goat, Undressed : Unenumerated: Undressed",Other British Possessions,605.0,445.0,inf:as_1899 slip run 6 rows offset +1
as_1899,1898,export_uk,"COAL, CINDERS, &c.",East Africa,Portuguese Possessions,2359.0,,"inf:as_1899 duplicate label, value belongs elsewhere"
as_1899,1898,export_uk,"COAL, CINDERS, &c.",East Africa,French Possessions,7356.0,,"inf:as_1899 duplicate label, value belongs elsewhere"
as_1899,1898,export_uk,"CORDAGE, CABLES, ROPES, AND TWINE, of Hemp or like Material",West Africa,Paraguay,27639.0,,"inf:as_1899 duplicate label, value belongs elsewhere"
as_1899,1898,export_uk,COTTON MANUFACTURES,East Africa,Portuguese Possessions,29582.0,,"inf:as_1899 duplicate label, value belongs elsewhere"
as_1899,1898,export_uk,COTTON MANUFACTURES,East Africa,German Possessions,2065.0,,"inf:as_1899 duplicate label, value belongs elsewhere"
as_1899,1898,export_uk,COTTON MANUFACTURES—con- tinued,East Africa,Portuguese Possessions,11420.0,,"inf:as_1899 duplicate label, value belongs elsewhere"
as_1899,1898,export_uk,HATS,West Africa,Denmark,4594.0,1621.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1898,export_uk,HATS,West Africa,Germany,1621.0,3254.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1898,export_uk,HATS,West Africa,Holland,3234.0,15141.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1898,export_uk,HATS,West Africa,Belgium,15141.0,4172.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1898,export_uk,HATS,West Africa,France,4172.0,10350.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1898,export_uk,HATS,West Africa,Portugal,10350.0,188.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1898,export_uk,HATS,West Africa,Turkey,188.0,1047.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1898,export_uk,HATS,West Africa,Japan,1047.0,6793.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1898,export_uk,HATS,West Africa,United States of America,6793.0,6288.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1898,export_uk,HATS,West Africa,Cuba and Porto Rico,6258.0,1306.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1898,export_uk,HATS,West Africa,Hayti and St. Domingo,1306.0,573.0,inf:as_1899 slip run 23 rows offset +1
as_1899,1898,export_uk,HATS,West Africa,Mexico,573.0,2131.0,inf:as_1899 slip run 23 rows offset +1
