year,commodity,country_raw,country_norm,to_location,quantity,unit,value,currency,series,note,is_world,world_rank,value_is_zero,sheet,src_row
1856,Tallow,Russia,russia,United Kingdom,629038.0,CWTS (Hundredweights),1651225.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99697
1856,Tallow,British Possessions in South Africa ,british possessions in south africa,United Kingdom,3719.0,CWTS (Hundredweights),9762.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99698
1856,Tallow,Other Parts,other parts,United Kingdom,19232.0,CWTS (Hundredweights),47628.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99699
1856,Tallow,Prussia,prussia,United Kingdom,198298.0,CWTS (Hundredweights),520533.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99700
1856,Tallow,Turkey Proper,turkey proper,United Kingdom,5186.0,CWTS (Hundredweights),12316.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99701
1856,Tallow,British East Indies,british east indies,United Kingdom,11384.0,CWTS (Hundredweights),29885.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99702
1856,Tallow,Buenos Ayres,buenos ayres,United Kingdom,81665.0,CWTS (Hundredweights),202120.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99703
1856,Tallow,Hanse Towns,hanse towns,United Kingdom,9142.0,CWTS (Hundredweights),21712.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99704
1857,Tallow,France,france,United Kingdom,31781.0,CWTS (Hundredweights),89104.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99713
1857,Tallow,Holland,holland,United Kingdom,4295.0,CWTS (Hundredweights),11732.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99714
1857,Tallow,Sweden,sweden,United Kingdom,10689.0,CWTS (Hundredweights),31656.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99715
1857,Tallow,United States,united states,United Kingdom,41587.0,CWTS (Hundredweights),120721.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99716
1857,Tallow,World,world,United Kingdom,1210347.0,CWTS (Hundredweights),3285048.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Tallow (raw),99717
1857,Tallow,Belgium,belgium,United Kingdom,14456.0,CWTS (Hundredweights),39960.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99718
1857,Tallow,Australia,australia,United Kingdom,73955.0,CWTS (Hundredweights),196966.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99719
1857,Tallow,Uruguay,uruguay,United Kingdom,49152.0,CWTS (Hundredweights),136802.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99720
1857,Tallow,Russia,russia,United Kingdom,839257.0,CWTS (Hundredweights),2256914.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99721
1857,Tallow,Other Parts,other parts,United Kingdom,17123.0,CWTS (Hundredweights),46497.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99722
1857,Tallow,Prussia,prussia,United Kingdom,3282.0,CWTS (Hundredweights),9518.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99723
1857,Tallow,Turkey Proper,turkey proper,United Kingdom,7304.0,CWTS (Hundredweights),20846.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99724
1857,Tallow,British East Indies,british east indies,United Kingdom,17444.0,CWTS (Hundredweights),48062.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99725
1857,Tallow,Buenos Ayres,buenos ayres,United Kingdom,82438.0,CWTS (Hundredweights),227796.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99726
1857,Tallow,Hanse Towns,hanse towns,United Kingdom,10803.0,CWTS (Hundredweights),29123.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99727
1857,Tallow,Austrian Italy,austrian italy,United Kingdom,6781.0,CWTS (Hundredweights),19351.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99728
1858,Tallow,France,france,United Kingdom,22664.0,CWTS (Hundredweights),58659.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99729
1858,Tallow,United States,united states,United Kingdom,14943.0,CWTS (Hundredweights),38635.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99730
1858,Tallow,World,world,United Kingdom,1225181.0,CWTS (Hundredweights),3042381.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Tallow (raw),99731
1858,Tallow,Belgium,belgium,United Kingdom,6491.0,CWTS (Hundredweights),7608.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99732
1858,Tallow,Australia,australia,United Kingdom,46973.0,CWTS (Hundredweights),115710.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99733
1858,Tallow,Uruguay,uruguay,United Kingdom,38425.0,CWTS (Hundredweights),97881.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99734
1858,Tallow,Russia,russia,United Kingdom,1004563.0,CWTS (Hundredweights),2460375.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99735
1858,Tallow,Hamburg,hamburg,United Kingdom,6021.0,CWTS (Hundredweights),15682.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99736
1858,Tallow,Other Parts,other parts,United Kingdom,9055.0,CWTS (Hundredweights),22222.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99737
1858,Tallow,Prussia,prussia,United Kingdom,8036.0,CWTS (Hundredweights),24210.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99738
1858,Tallow,Turkey Proper,turkey proper,United Kingdom,10087.0,CWTS (Hundredweights),23006.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99739
1858,Tallow,British East Indies,british east indies,United Kingdom,9673.0,CWTS (Hundredweights),24762.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99740
1858,Tallow,Buenos Ayres,buenos ayres,United Kingdom,58836.0,CWTS (Hundredweights),117460.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99741
1859,Tallow,Denmark,denmark,United Kingdom,7954.0,CWTS (Hundredweights),21123.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99742
1859,Tallow,France,france,United Kingdom,12734.0,CWTS (Hundredweights),32984.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99743
1859,Tallow,United States,united states,United Kingdom,19616.0,CWTS (Hundredweights),54648.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99744
1859,Tallow,World,world,United Kingdom,1074336.0,CWTS (Hundredweights),2933066.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Tallow (raw),99745
1859,Tallow,Australia,australia,United Kingdom,14258.0,CWTS (Hundredweights),38571.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99746
1859,Tallow,Uruguay,uruguay,United Kingdom,54983.0,CWTS (Hundredweights),150190.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99747
1859,Tallow,Russia,russia,United Kingdom,789040.0,CWTS (Hundredweights),2161999.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99748
1859,Tallow,Chili,chili,United Kingdom,5396.0,CWTS (Hundredweights),14559.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99749
1859,Tallow,Other Parts,other parts,United Kingdom,13699.0,CWTS (Hundredweights),35956.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99750
1859,Tallow,British East Indies,british east indies,United Kingdom,14575.0,CWTS (Hundredweights),39741.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99751
1859,Tallow,Buenos Ayres,buenos ayres,United Kingdom,124178.0,CWTS (Hundredweights),336011.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99752
1859,Tallow,Austrian Italy,austrian italy,United Kingdom,8749.0,CWTS (Hundredweights),23061.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99753
1859,Tallow,Tuscany,tuscany,United Kingdom,9154.0,CWTS (Hundredweights),24223.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99754
1860,Tallow,World,world,London,899101.0,CWTS (Hundredweights),,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Tallow (raw),99755
1860,Tallow,Brazil,brazil,United Kingdom,7393.0,CWTS (Hundredweights),19971.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99756
1860,Tallow,France,france,United Kingdom,20558.0,CWTS (Hundredweights),60642.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99757
1860,Tallow,United States,united states,United Kingdom,123267.0,CWTS (Hundredweights),347345.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99758
1860,Tallow,World,world,United Kingdom,1430108.0,CWTS (Hundredweights),4014280.0,British Pound,HCPP_Annual Statement of Trade,,1,2,0,Tallow (raw),99759
1860,Tallow,Belgium,belgium,United Kingdom,5626.0,CWTS (Hundredweights),16677.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99760
1860,Tallow,Uruguay,uruguay,United Kingdom,73551.0,CWTS (Hundredweights),204060.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99761
1860,Tallow,Russia,russia,United Kingdom,1082663.0,CWTS (Hundredweights),3040997.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99762
1860,Tallow,Hamburg,hamburg,United Kingdom,7119.0,CWTS (Hundredweights),20234.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99763
1860,Tallow,Other Parts,other parts,United Kingdom,14317.0,CWTS (Hundredweights),40019.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99764
1860,Tallow,British East Indies,british east indies,United Kingdom,12035.0,CWTS (Hundredweights),33082.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99765
1860,Tallow,Buenos Ayres,buenos ayres,United Kingdom,71574.0,CWTS (Hundredweights),197423.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99766
1860,Tallow,British Settlements in Australia,british settlements in australia,United Kingdom,12005.0,CWTS (Hundredweights),33830.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99767
1861,Tallow,Brazil,brazil,United Kingdom,11951.0,CWTS (Hundredweights),29451.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99768
1861,Tallow,France,france,United Kingdom,6780.0,CWTS (Hundredweights),18562.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99769
1861,Tallow,World,world,United Kingdom,1309574.0,CWTS (Hundredweights),3311717.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Tallow (raw),99770
1861,Tallow,Belgium,belgium,United Kingdom,7773.0,CWTS (Hundredweights),20769.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99771
1861,Tallow,Australia,australia,United Kingdom,66621.0,CWTS (Hundredweights),158863.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99772
1861,Tallow,Uruguay,uruguay,United Kingdom,83908.0,CWTS (Hundredweights),208398.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99773
1861,Tallow,Russia,russia,United Kingdom,673997.0,CWTS (Hundredweights),1711804.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99774
1861,Tallow,Chili,chili,United Kingdom,5265.0,CWTS (Hundredweights),12402.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99775
1861,Tallow,Hamburg,hamburg,United Kingdom,6544.0,CWTS (Hundredweights),17047.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99776
1861,Tallow,United States North Atlantic Ports,united states north atlantic ports,United Kingdom,250350.0,CWTS (Hundredweights),638944.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99777
1861,Tallow,United States South Atlantic Ports,united states south atlantic ports,United Kingdom,13393.0,CWTS (Hundredweights),35375.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99778
1861,Tallow,Argentine Confederation ,argentine confederation,United Kingdom,154200.0,CWTS (Hundredweights),387260.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99779
1861,Tallow,Other Parts,other parts,United Kingdom,6023.0,CWTS (Hundredweights),15710.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99780
1861,Tallow,Austrian Territories ,austrian territories,United Kingdom,9034.0,CWTS (Hundredweights),23284.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99781
1861,Tallow,India Singapore and Ceylon,india singapore and ceylon,United Kingdom,13735.0,CWTS (Hundredweights),33848.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99782
1862,Tallow,Brazil,brazil,United Kingdom,37245.0,CWTS (Hundredweights),85952.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99783
1862,Tallow,Denmark,denmark,United Kingdom,17379.0,CWTS (Hundredweights),38796.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99784
1862,Tallow,World,world,United Kingdom,1103247.0,CWTS (Hundredweights),2508319.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Tallow (raw),99785
1862,Tallow,Australia,australia,United Kingdom,104560.0,CWTS (Hundredweights),230398.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99786
1862,Tallow,Uruguay,uruguay,United Kingdom,129690.0,CWTS (Hundredweights),295701.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99787
1862,Tallow,Russia,russia,United Kingdom,438382.0,CWTS (Hundredweights),1002107.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99788
1862,Tallow,Chili,chili,United Kingdom,2582.0,CWTS (Hundredweights),5888.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99789
1862,Tallow,United States North Atlantic Ports,united states north atlantic ports,United Kingdom,269129.0,CWTS (Hundredweights),609815.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99790
1862,Tallow,United States South Atlantic Ports,united states south atlantic ports,United Kingdom,4796.0,CWTS (Hundredweights),11091.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99791
1862,Tallow,Argentine Confederation ,argentine confederation,United Kingdom,84449.0,CWTS (Hundredweights),194175.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99792
1862,Tallow,Other Parts,other parts,United Kingdom,10246.0,CWTS (Hundredweights),23477.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99793
1862,Tallow,United States Pacific Ports,united states pacific ports,United Kingdom,4789.0,CWTS (Hundredweights),10919.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99794
1863,Tallow,Brazil,brazil,United Kingdom,11557.0,CWTS (Hundredweights),24031.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99795
1863,Tallow,World,world,United Kingdom,1160219.0,CWTS (Hundredweights),2438613.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Tallow (raw),99796
1863,Tallow,Australia,australia,United Kingdom,50796.0,CWTS (Hundredweights),103813.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99797
1863,Tallow,Uruguay,uruguay,United Kingdom,208190.0,CWTS (Hundredweights),436703.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99798
1863,Tallow,Russia,russia,United Kingdom,559711.0,CWTS (Hundredweights),1184857.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99799
1863,Tallow,United States North Atlantic Ports,united states north atlantic ports,United Kingdom,237376.0,CWTS (Hundredweights),495586.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99800
1863,Tallow,United States South Atlantic Ports,united states south atlantic ports,United Kingdom,7068.0,CWTS (Hundredweights),14745.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99801
1863,Tallow,Argentine Confederation ,argentine confederation,United Kingdom,69673.0,CWTS (Hundredweights),145545.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99802
1863,Tallow,Other Parts,other parts,United Kingdom,9021.0,CWTS (Hundredweights),19110.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99803
1863,Tallow,United States Pacific Ports,united states pacific ports,United Kingdom,6827.0,CWTS (Hundredweights),14223.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99804
1864,Tallow,Brazil,brazil,United Kingdom,7658.0,CWTS (Hundredweights),15893.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99805
1864,Tallow,World,world,United Kingdom,1014566.0,CWTS (Hundredweights),2077726.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Tallow (raw),99806
1864,Tallow,Australia,australia,United Kingdom,85093.0,CWTS (Hundredweights),166942.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99807
1864,Tallow,Uruguay,uruguay,United Kingdom,106209.0,CWTS (Hundredweights),221597.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99808
1864,Tallow,Russia,russia,United Kingdom,471416.0,CWTS (Hundredweights),966312.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99809
1864,Tallow,Chili,chili,United Kingdom,8144.0,CWTS (Hundredweights),17143.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99810
1864,Tallow,United States North Atlantic Ports,united states north atlantic ports,United Kingdom,245664.0,CWTS (Hundredweights),501975.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99811
1864,Tallow,United States South Atlantic Ports,united states south atlantic ports,United Kingdom,1453.0,CWTS (Hundredweights),2970.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99812
1864,Tallow,Argentine Confederation ,argentine confederation,United Kingdom,73078.0,CWTS (Hundredweights),152327.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99813
1864,Tallow,Other Parts,other parts,United Kingdom,8693.0,CWTS (Hundredweights),17963.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99814
1864,Tallow,United States Pacific Ports,united states pacific ports,United Kingdom,7158.0,CWTS (Hundredweights),14604.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99815
1865,Tallow,Brazil,brazil,United Kingdom,29642.0,CWTS (Hundredweights),63934.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99816
1865,Tallow,World,world,United Kingdom,1361248.0,CWTS (Hundredweights),3125282.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Tallow (raw),99817
1865,Tallow,Australia,australia,United Kingdom,117729.0,CWTS (Hundredweights),247106.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99818
1865,Tallow,Uruguay,uruguay,United Kingdom,264852.0,CWTS (Hundredweights),589982.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99819
1865,Tallow,Russia,russia,United Kingdom,693483.0,CWTS (Hundredweights),1671962.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99820
1865,Tallow,Chili,chili,United Kingdom,2283.0,CWTS (Hundredweights),4840.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99821
1865,Tallow,United States North Atlantic Ports,united states north atlantic ports,United Kingdom,129010.0,CWTS (Hundredweights),271605.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99822
1865,Tallow,United States South Atlantic Ports,united states south atlantic ports,United Kingdom,1126.0,CWTS (Hundredweights),2290.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99823
1865,Tallow,Argentine Confederation ,argentine confederation,United Kingdom,114451.0,CWTS (Hundredweights),254352.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99824
1865,Tallow,Other Parts,other parts,United Kingdom,8672.0,CWTS (Hundredweights),19211.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99825
1866,Tallow,Brazil,brazil,United Kingdom,17854.0,CWTS (Hundredweights),40675.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99826
1866,Tallow,Denmark,denmark,United Kingdom,2273.0,CWTS (Hundredweights),5039.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99827
1866,Tallow,France,france,United Kingdom,2003.0,CWTS (Hundredweights),4913.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99828
1866,Tallow,World,world,United Kingdom,1322477.0,CWTS (Hundredweights),3008807.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Tallow (raw),99829
1866,Tallow,British North America,british north america,United Kingdom,6066.0,CWTS (Hundredweights),13657.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99830
1866,Tallow,Australia,australia,United Kingdom,25438.0,CWTS (Hundredweights),55469.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99831
1866,Tallow,Uruguay,uruguay,United Kingdom,216303.0,CWTS (Hundredweights),501975.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99832
1866,Tallow,Russia,russia,United Kingdom,753073.0,CWTS (Hundredweights),1685892.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99833
1866,Tallow,Chili,chili,United Kingdom,2175.0,CWTS (Hundredweights),5003.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99834
1866,Tallow,Hamburg,hamburg,United Kingdom,3013.0,CWTS (Hundredweights),7371.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99835
1866,Tallow,United States North Atlantic Ports,united states north atlantic ports,United Kingdom,134452.0,CWTS (Hundredweights),318604.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99836
1866,Tallow,United States South Atlantic Ports,united states south atlantic ports,United Kingdom,3112.0,CWTS (Hundredweights),7353.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99837
1866,Tallow,Argentine Confederation ,argentine confederation,United Kingdom,140124.0,CWTS (Hundredweights),325007.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99838
1866,Tallow,Other Parts,other parts,United Kingdom,7733.0,CWTS (Hundredweights),17659.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99839
1866,Tallow,Central America,central america,United Kingdom,5349.0,CWTS (Hundredweights),12303.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99840
1866,Tallow,Austrian Territories ,austrian territories,United Kingdom,2974.0,CWTS (Hundredweights),6685.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99841
1866,Tallow,United States Pacific Ports,united states pacific ports,United Kingdom,535.0,CWTS (Hundredweights),1202.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99842
1867,Tallow,Brazil,brazil,United Kingdom,25950.0,CWTS (Hundredweights),58637.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99843
1867,Tallow,Canada,canada,United Kingdom,1152.0,CWTS (Hundredweights),2549.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99844
1867,Tallow,France,france,United Kingdom,7045.0,CWTS (Hundredweights),15433.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99845
1867,Tallow,World,world,United Kingdom,1105458.0,CWTS (Hundredweights),2419594.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Tallow (raw),99846
1867,Tallow,Australia,australia,United Kingdom,43273.0,CWTS (Hundredweights),92916.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99847
1867,Tallow,Uruguay,uruguay,United Kingdom,144054.0,CWTS (Hundredweights),323512.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99848
1867,Tallow,Russia,russia,United Kingdom,622860.0,CWTS (Hundredweights),1345680.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99849
1867,Tallow,United States North Atlantic Ports,united states north atlantic ports,United Kingdom,138450.0,CWTS (Hundredweights),306608.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99850
1867,Tallow,United States South Atlantic Ports,united states south atlantic ports,United Kingdom,5418.0,CWTS (Hundredweights),12019.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99851
1867,Tallow,Argentine Confederation ,argentine confederation,United Kingdom,111541.0,CWTS (Hundredweights),249490.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99852
1867,Tallow,Other Parts,other parts,United Kingdom,1712.0,CWTS (Hundredweights),3796.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99853
1867,Tallow,Morocco ,morocco,United Kingdom,2883.0,CWTS (Hundredweights),6486.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99854
1867,Tallow,United States Pacific Ports,united states pacific ports,United Kingdom,1120.0,CWTS (Hundredweights),2468.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99855
1868,Tallow,Brazil,brazil,United Kingdom,16816.0,CWTS (Hundredweights),39102.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99856
1868,Tallow,France,france,United Kingdom,9939.0,CWTS (Hundredweights),23827.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99857
1868,Tallow,Holland,holland,United Kingdom,6260.0,CWTS (Hundredweights),13700.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99858
1868,Tallow,World,world,United Kingdom,1237348.0,CWTS (Hundredweights),2961319.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Tallow (raw),99859
1868,Tallow,Belgium,belgium,United Kingdom,5689.0,CWTS (Hundredweights),14215.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99860
1868,Tallow,Australia,australia,United Kingdom,215418.0,CWTS (Hundredweights),498283.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99861
1868,Tallow,Uruguay,uruguay,United Kingdom,157466.0,CWTS (Hundredweights),375510.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99862
1868,Tallow,Russia,russia,United Kingdom,414998.0,CWTS (Hundredweights),1034122.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99863
1868,Tallow,Hamburg,hamburg,United Kingdom,5405.0,CWTS (Hundredweights),13391.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99864
1868,Tallow,United States North Atlantic Ports,united states north atlantic ports,United Kingdom,109655.0,CWTS (Hundredweights),247475.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99865
1868,Tallow,United States South Atlantic Ports,united states south atlantic ports,United Kingdom,4130.0,CWTS (Hundredweights),9300.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99866
1868,Tallow,Argentine Confederation ,argentine confederation,United Kingdom,279459.0,CWTS (Hundredweights),663312.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),99867
