commodity,commodity_family,family,route,material,hub,supplier,region,rank,note
Tea,food & drink,food & drink,forwarded,,London / Liverpool warehouses,China,China & Japan,1,re-exported to Canada unchanged; supplier = major consignor to Britain
Tea,food & drink,food & drink,forwarded,,London / Liverpool warehouses,Bengal,India & Southeast Asia,2,re-exported to Canada unchanged; supplier = major consignor to Britain
Tea,food & drink,food & drink,forwarded,,London / Liverpool warehouses,Ceylon,India & Southeast Asia,3,re-exported to Canada unchanged; supplier = major consignor to Britain
Fruit,food & drink,food & drink,forwarded,,London / Liverpool warehouses,Spain,Europe,1,re-exported to Canada unchanged; supplier = major consignor to Britain
Fruit,food & drink,food & drink,forwarded,,London / Liverpool warehouses,Greece,Mediterranean & Levant,2,re-exported to Canada unchanged; supplier = major consignor to Britain
Fruit,food & drink,food & drink,forwarded,,London / Liverpool warehouses,Turkey,Mediterranean & Levant,3,re-exported to Canada unchanged; supplier = major consignor to Britain
Fruit,food & drink,food & drink,forwarded,,London / Liverpool warehouses,France,Europe,4,re-exported to Canada unchanged; supplier = major consignor to Britain
Fruit,food & drink,food & drink,forwarded,,London / Liverpool warehouses,United States Of America,North America,5,re-exported to Canada unchanged; supplier = major consignor to Britain
Silk Manufactures,textiles,textiles,forwarded,,London / Liverpool warehouses,France,Europe,1,re-exported to Canada unchanged; supplier = major consignor to Britain
Silk Manufactures,textiles,textiles,forwarded,,London / Liverpool warehouses,Holland,Europe,2,re-exported to Canada unchanged; supplier = major consignor to Britain
Silk Manufactures,textiles,textiles,forwarded,,London / Liverpool warehouses,Belgium,Europe,3,re-exported to Canada unchanged; supplier = major consignor to Britain
"Skins, Furs And Pelts",animal products,animal products,forwarded,,London / Liverpool warehouses,British Possessions In South Africa,Africa,1,re-exported to Canada unchanged; supplier = major consignor to Britain
"Skins, Furs And Pelts",animal products,animal products,forwarded,,London / Liverpool warehouses,United States Of America,North America,2,re-exported to Canada unchanged; supplier = major consignor to Britain
"Skins, Furs And Pelts",animal products,animal products,forwarded,,London / Liverpool warehouses,France,Europe,3,re-exported to Canada unchanged; supplier = major consignor to Britain
"Skins, Furs And Pelts",animal products,animal products,forwarded,,London / Liverpool warehouses,Madras,India & Southeast Asia,4,re-exported to Canada unchanged; supplier = major consignor to Britain
"Skins, Furs And Pelts",animal products,animal products,forwarded,,London / Liverpool warehouses,Argentine Republic,South America,5,re-exported to Canada unchanged; supplier = major consignor to Britain
"Skins, Furs And Pelts",animal products,animal products,forwarded,,London / Liverpool warehouses,Australasia,Australasia & Pacific,6,re-exported to Canada unchanged; supplier = major consignor to Britain
Hemp,textiles,textiles,forwarded,,London / Liverpool warehouses,Philippine Islands,India & Southeast Asia,1,re-exported to Canada unchanged; supplier = major consignor to Britain
Hemp,textiles,textiles,forwarded,,London / Liverpool warehouses,Russia,Europe,2,re-exported to Canada unchanged; supplier = major consignor to Britain
Hemp,textiles,textiles,forwarded,,London / Liverpool warehouses,Italy,Europe,3,re-exported to Canada unchanged; supplier = major consignor to Britain
Hemp,textiles,textiles,forwarded,,London / Liverpool warehouses,Germany,Europe,4,re-exported to Canada unchanged; supplier = major consignor to Britain
Wool,textiles,textiles,forwarded,,London / Liverpool warehouses,New South Wales,Australasia & Pacific,1,re-exported to Canada unchanged; supplier = major consignor to Britain
Wool,textiles,textiles,forwarded,,London / Liverpool warehouses,British Possessions In South Africa,Africa,2,re-exported to Canada unchanged; supplier = major consignor to Britain
Wool,textiles,textiles,forwarded,,London / Liverpool warehouses,Victoria,Australasia & Pacific,3,re-exported to Canada unchanged; supplier = major consignor to Britain
Wool,textiles,textiles,forwarded,,London / Liverpool warehouses,New Zealand,Australasia & Pacific,4,re-exported to Canada unchanged; supplier = major consignor to Britain
Woollen Manufactures,textiles,textiles,forwarded,,London / Liverpool warehouses,France,Europe,1,re-exported to Canada unchanged; supplier = major consignor to Britain
Woollen Manufactures,textiles,textiles,forwarded,,London / Liverpool warehouses,Holland,Europe,2,re-exported to Canada unchanged; supplier = major consignor to Britain
Woollen Manufactures,textiles,textiles,forwarded,,London / Liverpool warehouses,Germany,Europe,3,re-exported to Canada unchanged; supplier = major consignor to Britain
Woollen Manufactures,textiles,textiles,forwarded,,London / Liverpool warehouses,United States Of America,North America,4,re-exported to Canada unchanged; supplier = major consignor to Britain
Rice,food & drink,food & drink,forwarded,,London / Liverpool warehouses,Bengal,India & Southeast Asia,1,re-exported to Canada unchanged; supplier = major consignor to Britain
Rice,food & drink,food & drink,forwarded,,London / Liverpool warehouses,Burmah,India & Southeast Asia,2,re-exported to Canada unchanged; supplier = major consignor to Britain
Rice,food & drink,food & drink,forwarded,,London / Liverpool warehouses,Holland,Europe,3,re-exported to Canada unchanged; supplier = major consignor to Britain
Spices,food & drink,food & drink,forwarded,,London / Liverpool warehouses,Straits Settlements,India & Southeast Asia,1,re-exported to Canada unchanged; supplier = major consignor to Britain
